animal_a,animal_b,n_shared_ids,modality,condition,similarity
2022-12-21-06,2023-01-09-28,54,Geometry,Aligned,0.8789057407701738
2022-12-21-06,2023-01-09-28,54,Activity,Aligned,0.34176149510841114
2022-12-21-06,2023-01-09-28,54,Multimodal,Aligned,0.6011251646719444
2022-12-21-06,2023-01-13-07,47,Geometry,Aligned,0.9295889236158529
2022-12-21-06,2023-01-13-07,47,Activity,Aligned,0.3456007384194407
2022-12-21-06,2023-01-13-07,47,Multimodal,Aligned,0.6856288699573088
2022-12-21-06,2023-01-16-01,52,Geometry,Aligned,0.8975065709954039
2022-12-21-06,2023-01-16-01,52,Activity,Aligned,0.4521996755657484
2022-12-21-06,2023-01-16-01,52,Multimodal,Aligned,0.6646261967445375
2022-12-21-06,2023-01-16-08,53,Geometry,Aligned,0.9182357663508732
2022-12-21-06,2023-01-16-08,53,Activity,Aligned,0.331913606659063
2022-12-21-06,2023-01-16-08,53,Multimodal,Aligned,0.6264562427966851
2022-12-21-06,2023-01-16-15,56,Geometry,Aligned,0.9129458149607055
2022-12-21-06,2023-01-16-15,56,Activity,Aligned,0.37882366177878396
2022-12-21-06,2023-01-16-15,56,Multimodal,Aligned,0.6528075563273946
2022-12-21-06,2023-01-16-22,52,Geometry,Aligned,0.6135074180393955
2022-12-21-06,2023-01-16-22,52,Activity,Aligned,0.38587777441164295
2022-12-21-06,2023-01-16-22,52,Multimodal,Aligned,0.532995565212984
2022-12-21-06,2023-01-19-08,50,Geometry,Aligned,0.9024342309109432
2022-12-21-06,2023-01-19-08,50,Activity,Aligned,0.20159895420580393
2022-12-21-06,2023-01-19-08,50,Multimodal,Aligned,0.583185860072916
2022-12-21-06,2023-01-19-15,30,Geometry,Aligned,0.8586750719165768
2022-12-21-06,2023-01-19-15,30,Activity,Aligned,0.2116807103702598
2022-12-21-06,2023-01-19-15,30,Multimodal,Aligned,0.5721684786803398
2022-12-21-06,2023-01-19-22,55,Geometry,Aligned,0.9271839531168469
2022-12-21-06,2023-01-19-22,55,Activity,Aligned,0.26671398941290675
2022-12-21-06,2023-01-19-22,55,Multimodal,Aligned,0.6290790709094178
2022-12-21-06,2023-01-23-01,53,Geometry,Aligned,0.8979330519438923
2022-12-21-06,2023-01-23-01,53,Activity,Aligned,0.5514318467760608
2022-12-21-06,2023-01-23-01,53,Multimodal,Aligned,0.7273557565169256
2022-12-21-06,2023-01-23-08,55,Geometry,Aligned,0.9373960008097718
2022-12-21-06,2023-01-23-08,55,Activity,Aligned,0.20628094448069248
2022-12-21-06,2023-01-23-08,55,Multimodal,Aligned,0.5750979932989172
2022-12-21-06,2023-01-23-15,57,Geometry,Aligned,0.9427495637279055
2022-12-21-06,2023-01-23-15,57,Activity,Aligned,0.37065112822115237
2022-12-21-06,2023-01-23-15,57,Multimodal,Aligned,0.6627133218809759
2022-12-21-06,2023-01-23-21,55,Geometry,Aligned,0.9751888492280814
2022-12-21-06,2023-01-23-21,55,Activity,Aligned,0.42095704449434596
2022-12-21-06,2023-01-23-21,55,Multimodal,Aligned,0.7092760383980209
2022-12-21-06,2022-06-28-01,50,Geometry,Aligned,0.8793846582886121
2022-12-21-06,2022-06-28-01,50,Activity,Aligned,0.34418014925132534
2022-12-21-06,2022-06-28-01,50,Multimodal,Aligned,0.39756380416341863
2022-12-21-06,2022-06-28-07,50,Geometry,Aligned,0.8872239493786098
2022-12-21-06,2022-06-28-07,50,Activity,Aligned,0.3640177174481339
2022-12-21-06,2022-06-28-07,50,Multimodal,Aligned,0.6610725151612791
2022-12-21-06,2023-01-17-01,56,Geometry,Aligned,0.9420597934972746
2022-12-21-06,2023-01-17-01,56,Activity,Aligned,0.3272148802755176
2022-12-21-06,2023-01-17-01,56,Multimodal,Aligned,0.6559281722400797
2022-12-21-06,2023-01-17-07,51,Geometry,Aligned,0.9605674752292399
2022-12-21-06,2023-01-17-07,51,Activity,Aligned,0.30554379695174566
2022-12-21-06,2023-01-17-07,51,Multimodal,Aligned,0.6963729793104206
2022-12-21-06,2023-01-17-14,58,Geometry,Aligned,0.9477589314636589
2022-12-21-06,2023-01-17-14,58,Activity,Aligned,0.391609996500111
2022-12-21-06,2023-01-17-14,58,Multimodal,Aligned,0.6329863603062488
2022-12-21-06,2023-01-18-01,50,Geometry,Aligned,0.9547932639031186
2022-12-21-06,2023-01-18-01,50,Activity,Aligned,0.38456262073214587
2022-12-21-06,2023-01-18-01,50,Multimodal,Aligned,0.6831557668522374
2023-01-10-07,2023-01-10-14,76,Geometry,Aligned,0.8972959022623352
2023-01-10-07,2023-01-10-14,76,Activity,Aligned,0.6017465338807617
2023-01-10-07,2023-01-10-14,76,Multimodal,Aligned,0.7547651372385612
2023-01-10-07,2023-03-07-01,65,Geometry,Aligned,0.9204488544283145
2023-01-10-07,2023-03-07-01,65,Activity,Aligned,0.4353239784789722
2023-01-10-07,2023-03-07-01,65,Multimodal,Aligned,0.6781514982146447
2023-01-10-07,2022-06-14-01,59,Geometry,Aligned,0.9465444068102769
2023-01-10-07,2022-06-14-01,59,Activity,Aligned,0.45847913400202595
2023-01-10-07,2022-06-14-01,59,Multimodal,Aligned,0.7040066981594997
2023-01-10-07,2022-06-14-07,70,Geometry,Aligned,0.9570970574245049
2023-01-10-07,2022-06-14-07,70,Activity,Aligned,0.4427198655973563
2023-01-10-07,2022-06-14-07,70,Multimodal,Aligned,0.7252399706989916
2023-01-10-07,2022-06-14-13,79,Geometry,Aligned,0.9412597332274585
2023-01-10-07,2022-06-14-13,79,Activity,Aligned,0.5379980485562521
2023-01-10-07,2022-06-14-13,79,Multimodal,Aligned,0.7523957132827528
2023-01-10-07,2022-07-15-06,58,Geometry,Aligned,0.9124693143050663
2023-01-10-07,2022-07-15-06,58,Activity,Aligned,0.3390159640832312
2023-01-10-07,2022-07-15-06,58,Multimodal,Aligned,0.6578637621022116
2023-01-10-07,2022-07-15-12,68,Geometry,Aligned,0.9568902976860163
2023-01-10-07,2022-07-15-12,68,Activity,Aligned,0.43271206632966275
2023-01-10-07,2022-07-15-12,68,Multimodal,Aligned,0.6988971311544656
2023-01-10-07,2022-07-26-01,56,Geometry,Aligned,0.9320989303576354
2023-01-10-07,2022-07-26-01,56,Activity,Aligned,0.6060156980869099
2023-01-10-07,2022-07-26-01,56,Multimodal,Aligned,0.7387693363477119
2023-01-10-07,2022-08-02-01,83,Geometry,Aligned,0.9347467253908383
2023-01-10-07,2022-08-02-01,83,Activity,Aligned,0.4790100549870425
2023-01-10-07,2022-08-02-01,83,Multimodal,Aligned,0.49993974916217543
2023-01-10-07,2023-01-05-01,69,Geometry,Aligned,0.8874585966776877
2023-01-10-07,2023-01-05-01,69,Activity,Aligned,0.3637717392715665
2023-01-10-07,2023-01-05-01,69,Multimodal,Aligned,0.6763770337787137
2023-01-10-07,2023-01-05-18,67,Geometry,Aligned,0.9179281477712458
2023-01-10-07,2023-01-05-18,67,Activity,Aligned,0.44893272945591
2023-01-10-07,2023-01-05-18,67,Multimodal,Aligned,0.7011380998104437
2023-01-10-07,2023-01-06-01,60,Geometry,Aligned,0.92278022872583
2023-01-10-07,2023-01-06-01,60,Activity,Aligned,0.385819868417
2023-01-10-07,2023-01-06-01,60,Multimodal,Aligned,0.6837993981040943
2023-01-10-07,2023-01-06-08,68,Geometry,Aligned,0.9210746057898798
2023-01-10-07,2023-01-06-08,68,Activity,Aligned,0.4277070030950855
2023-01-10-07,2023-01-06-08,68,Multimodal,Aligned,0.7092754096984378
2023-01-10-07,2023-01-09-08,48,Geometry,Aligned,0.7908681798231053
2023-01-10-07,2023-01-09-08,48,Activity,Aligned,0.4164321986979148
2023-01-10-07,2023-01-09-08,48,Multimodal,Aligned,0.6267447908877201
2023-01-10-07,2023-01-09-15,85,Geometry,Aligned,0.9394963883788764
2023-01-10-07,2023-01-09-15,85,Activity,Aligned,0.4473537646889811
2023-01-10-07,2023-01-09-15,85,Multimodal,Aligned,0.7254104882120628
2023-01-10-07,2023-01-09-22,74,Geometry,Aligned,0.9499201669717791
2023-01-10-07,2023-01-09-22,74,Activity,Aligned,0.3918269258599173
2023-01-10-07,2023-01-09-22,74,Multimodal,Aligned,0.6875600098433493
2023-01-10-07,2023-01-09-28,72,Geometry,Aligned,0.9057906027326545
2023-01-10-07,2023-01-09-28,72,Activity,Aligned,0.5438341386871949
2023-01-10-07,2023-01-09-28,72,Multimodal,Aligned,0.7383580234386776
2023-01-10-07,2023-01-13-07,65,Geometry,Aligned,0.9540239304523754
2023-01-10-07,2023-01-13-07,65,Activity,Aligned,0.3161087472886319
2023-01-10-07,2023-01-13-07,65,Multimodal,Aligned,0.7056377984402933
2023-01-10-07,2023-01-16-01,71,Geometry,Aligned,0.92389173290122
2023-01-10-07,2023-01-16-01,71,Activity,Aligned,0.44573006169213963
2023-01-10-07,2023-01-16-01,71,Multimodal,Aligned,0.7211496396536178
2023-01-10-07,2023-01-16-08,73,Geometry,Aligned,0.9377228428827099
2023-01-10-07,2023-01-16-08,73,Activity,Aligned,0.43401166763291366
2023-01-10-07,2023-01-16-08,73,Multimodal,Aligned,0.7090668847692159
2023-01-10-07,2023-01-16-15,76,Geometry,Aligned,0.9187441539626603
2023-01-10-07,2023-01-16-15,76,Activity,Aligned,0.4282598037118638
2023-01-10-07,2023-01-16-15,76,Multimodal,Aligned,0.6662635548563467
2023-01-10-07,2023-01-16-22,67,Geometry,Aligned,0.9111150731108286
2023-01-10-07,2023-01-16-22,67,Activity,Aligned,0.3826599564543448
2023-01-10-07,2023-01-16-22,67,Multimodal,Aligned,0.6494210809796477
2023-01-10-07,2023-01-19-08,67,Geometry,Aligned,0.9240237681909088
2023-01-10-07,2023-01-19-08,67,Activity,Aligned,0.24560194052322118
2023-01-10-07,2023-01-19-08,67,Multimodal,Aligned,0.6161937921093866
2023-01-10-07,2023-01-19-15,48,Geometry,Aligned,0.8545820777393726
2023-01-10-07,2023-01-19-15,48,Activity,Aligned,0.3225970662283585
2023-01-10-07,2023-01-19-15,48,Multimodal,Aligned,0.6112112419426391
2023-01-10-07,2023-01-19-22,78,Geometry,Aligned,0.9139072921654359
2023-01-10-07,2023-01-19-22,78,Activity,Aligned,0.32686299334711016
2023-01-10-07,2023-01-19-22,78,Multimodal,Aligned,0.6451792689351908
2023-01-10-07,2023-01-23-01,71,Geometry,Aligned,0.9197347899623441
2023-01-10-07,2023-01-23-01,71,Activity,Aligned,0.4836032275123454
2023-01-10-07,2023-01-23-01,71,Multimodal,Aligned,0.7247734009644458
2023-01-10-07,2023-01-23-08,71,Geometry,Aligned,0.9367256088387793
2023-01-10-07,2023-01-23-08,71,Activity,Aligned,0.34279725409240724
2023-01-10-07,2023-01-23-08,71,Multimodal,Aligned,0.6405076964539667
2023-01-10-07,2023-01-23-15,81,Geometry,Aligned,0.9139690549082712
2023-01-10-07,2023-01-23-15,81,Activity,Aligned,0.5366777457666856
2023-01-10-07,2023-01-23-15,81,Multimodal,Aligned,0.7377558678737721
2023-01-10-07,2023-01-23-21,78,Geometry,Aligned,0.9456871605267904
2023-01-10-07,2023-01-23-21,78,Activity,Aligned,0.45014275119428276
2023-01-10-07,2023-01-23-21,78,Multimodal,Aligned,0.7213852827078383
2023-01-10-07,2022-06-28-01,67,Geometry,Aligned,0.1368415974281293
2023-01-10-07,2022-06-28-01,67,Activity,Aligned,0.4368774269926175
2023-01-10-07,2022-06-28-01,67,Multimodal,Aligned,0.34113473658552135
2023-01-10-07,2022-06-28-07,62,Geometry,Aligned,0.9451684298722108
2023-01-10-07,2022-06-28-07,62,Activity,Aligned,0.4412714801443398
2023-01-10-07,2022-06-28-07,62,Multimodal,Aligned,0.6986786388172145
2023-01-10-07,2023-01-17-01,77,Geometry,Aligned,0.9397999467549194
2023-01-10-07,2023-01-17-01,77,Activity,Aligned,0.37585669117819476
2023-01-10-07,2023-01-17-01,77,Multimodal,Aligned,0.68147227580809
2023-01-10-07,2023-01-17-07,71,Geometry,Aligned,0.9617316608398685
2023-01-10-07,2023-01-17-07,71,Activity,Aligned,0.4155991787203751
2023-01-10-07,2023-01-17-07,71,Multimodal,Aligned,0.7261714602343368
2023-01-10-07,2023-01-17-14,75,Geometry,Aligned,0.9235115746473921
2023-01-10-07,2023-01-17-14,75,Activity,Aligned,0.49421550428094324
2023-01-10-07,2023-01-17-14,75,Multimodal,Aligned,0.6864594755170565
2023-01-10-07,2023-01-18-01,67,Geometry,Aligned,0.9309194113754724
2023-01-10-07,2023-01-18-01,67,Activity,Aligned,0.5296492144735396
2023-01-10-07,2023-01-18-01,67,Multimodal,Aligned,0.7358772125298809
2023-01-10-14,2023-03-07-01,58,Geometry,Aligned,0.9337552138613515
2023-01-10-14,2023-03-07-01,58,Activity,Aligned,0.4609148264199787
2023-01-10-14,2023-03-07-01,58,Multimodal,Aligned,0.7068615088481348
2023-01-10-14,2022-06-14-01,56,Geometry,Aligned,0.9123121686744793
2023-01-10-14,2022-06-14-01,56,Activity,Aligned,0.5365861739186367
2023-01-10-14,2022-06-14-01,56,Multimodal,Aligned,0.7226124434728426
2023-01-10-14,2022-06-14-07,67,Geometry,Aligned,0.8506896506931028
2023-01-10-14,2022-06-14-07,67,Activity,Aligned,0.3396612112235167
2023-01-10-14,2022-06-14-07,67,Multimodal,Aligned,0.591802713087224
2023-01-10-14,2022-06-14-13,72,Geometry,Aligned,0.8947733590681023
2023-01-10-14,2022-06-14-13,72,Activity,Aligned,0.5001189182192362
2023-01-10-14,2022-06-14-13,72,Multimodal,Aligned,0.7073583476037703
2023-01-10-14,2022-07-15-06,54,Geometry,Aligned,0.9423265775608876
2023-01-10-14,2022-07-15-06,54,Activity,Aligned,0.37025403801155526
2023-01-10-14,2022-07-15-06,54,Multimodal,Aligned,0.652615547143541
2023-01-10-14,2022-07-15-12,67,Geometry,Aligned,0.8568310487369346
2023-01-10-14,2022-07-15-12,67,Activity,Aligned,0.5366928694985384
2023-01-10-14,2022-07-15-12,67,Multimodal,Aligned,0.7042595335797345
2023-01-10-14,2022-07-26-01,55,Geometry,Aligned,0.9225237572790705
2023-01-10-14,2022-07-26-01,55,Activity,Aligned,0.476940593762612
2023-01-10-14,2022-07-26-01,55,Multimodal,Aligned,0.6779004610844823
2023-01-10-14,2022-08-02-01,76,Geometry,Aligned,0.13203895181875538
2023-01-10-14,2022-08-02-01,76,Activity,Aligned,0.40400917941042175
2023-01-10-14,2022-08-02-01,76,Multimodal,Aligned,0.3084494035345522
2023-01-10-14,2023-01-05-01,69,Geometry,Aligned,0.8933963493249906
2023-01-10-14,2023-01-05-01,69,Activity,Aligned,0.4400965082510877
2023-01-10-14,2023-01-05-01,69,Multimodal,Aligned,0.6789555651782595
2023-01-10-14,2023-01-05-18,70,Geometry,Aligned,0.8955481567812346
2023-01-10-14,2023-01-05-18,70,Activity,Aligned,0.5269468239138386
2023-01-10-14,2023-01-05-18,70,Multimodal,Aligned,0.7112584986595096
2023-01-10-14,2023-01-06-01,59,Geometry,Aligned,0.9167806957681256
2023-01-10-14,2023-01-06-01,59,Activity,Aligned,0.44970794860125407
2023-01-10-14,2023-01-06-01,59,Multimodal,Aligned,0.6885908811876281
