method,display_name,fold,test_fish,seed,pairs,queries,top1,top5,mrr,hungarian,coverage
vanilla_fgw,Vanilla FGW,1,func_20150410,,16,3536,0.6620475113122172,0.9994343891402715,0.8045343137254903,0.6532805429864253,1.0
vanilla_fgw,Vanilla FGW,2,func_20150417,,18,3954,0.8457258472432979,1.0,0.9199839824650149,0.8396560445118867,1.0
vanilla_fgw,Vanilla FGW,3,func_20161004,,6,768,0.984375,1.0,0.9921875,0.984375,1.0
vanilla_fgw,Vanilla FGW,4,islet_20170202,,13,1820,0.9,1.0,0.95,0.9,1.0
vanilla_fgw,Vanilla FGW,5,islet_20170216,,12,1464,0.9508196721311475,1.0,0.9754098360655737,0.9508196721311475,1.0
vanilla_fgw,Vanilla FGW,6,lineage_20160328,,8,938,0.7878464818763327,1.0,0.8858386638237385,0.7782515991471215,1.0
vanilla_fgw,Vanilla FGW,7,lineage_20170111,,14,2492,0.9454253611556982,1.0,0.9727126805778491,0.9454253611556982,1.0
vanilla_fgw,Vanilla FGW,8,lineage_20170925,,14,2184,0.9752747252747253,1.0,0.9876373626373627,0.9752747252747253,1.0
fugw_ga_official,FUGW (G+A; official),1,func_20150410,,16,3536,0.556843891402715,0.9479638009049773,0.7237928619370805,0.7279411764705882,1.0
fugw_ga_official,FUGW (G+A; official),2,func_20150417,,18,3954,0.7870510875063227,0.9926656550328781,0.8794773635031219,0.9185634800202327,1.0
fugw_ga_official,FUGW (G+A; official),3,func_20161004,,6,768,0.7083333333333334,0.9622395833333334,0.8224759898374138,0.8255208333333334,1.0
fugw_ga_official,FUGW (G+A; official),4,islet_20170202,,13,1820,0.6489010989010989,0.9631868131868132,0.7855898380101073,0.7615384615384615,1.0
fugw_ga_official,FUGW (G+A; official),5,islet_20170216,,12,1464,0.7534153005464481,0.9918032786885246,0.8603451079885508,0.894808743169399,1.0
fugw_ga_official,FUGW (G+A; official),6,lineage_20160328,,8,938,0.5618336886993603,0.9552238805970149,0.7320433295746772,0.673773987206823,1.0
fugw_ga_official,FUGW (G+A; official),7,lineage_20170111,,14,2492,0.6673354735152488,0.9759229534510433,0.7983590925304394,0.8764044943820225,1.0
fugw_ga_official,FUGW (G+A; official),8,lineage_20170925,,14,2184,0.7426739926739927,0.978021978021978,0.8470151615475845,0.8543956043956044,1.0
statatlas,StatAtlas,1,func_20150410,,16,3536,0.45588235294117646,0.6504524886877828,0.5538285069126535,0.4626696832579186,1.0
statatlas,StatAtlas,2,func_20150417,,18,3954,0.9350025290844715,0.9992412746585736,0.9627550160175352,0.9372787051087507,1.0
statatlas,StatAtlas,3,func_20161004,,6,768,0.9752604166666666,1.0,0.9876302083333334,0.9791666666666666,1.0
statatlas,StatAtlas,4,islet_20170202,,13,1820,0.9439560439560439,1.0,0.9706959706959702,0.9637362637362638,1.0
statatlas,StatAtlas,5,islet_20170216,,12,1464,0.9706284153005464,1.0,0.9849726775956282,0.9890710382513661,1.0
statatlas,StatAtlas,6,lineage_20160328,,8,938,0.9434968017057569,1.0,0.9707178393745559,0.9637526652452025,1.0
statatlas,StatAtlas,7,lineage_20170111,,14,2492,0.973916532905297,1.0,0.9865904226859283,0.9863563402889246,1.0
statatlas,StatAtlas,8,lineage_20170925,,14,2184,0.9674908424908425,1.0,0.9830738705738705,0.9816849816849816,1.0
crf_id_dagger,CRF_ID†,1,func_20150410,,16,3536,0.9250565610859729,0.9968891402714932,0.9567923733506313,0.9298642533936652,1.0
crf_id_dagger,CRF_ID†,2,func_20150417,,18,3954,0.9782498735457764,1.0,0.988703422694318,0.9792615073343449,1.0
crf_id_dagger,CRF_ID†,3,func_20161004,,6,768,0.9817708333333334,1.0,0.9906684027777777,0.9791666666666666,1.0
crf_id_dagger,CRF_ID†,4,islet_20170202,,13,1820,0.9626373626373627,0.9994505494505495,0.9808791208791208,0.9659340659340659,1.0
crf_id_dagger,CRF_ID†,5,islet_20170216,,12,1464,0.9474043715846995,1.0,0.9731329690346083,0.9480874316939891,1.0
crf_id_dagger,CRF_ID†,6,lineage_20160328,,8,938,0.9786780383795309,1.0,0.9888059701492538,0.976545842217484,1.0
crf_id_dagger,CRF_ID†,7,lineage_20170111,,14,2492,0.9747191011235955,0.9979935794542536,0.9853599650750533,0.9799357945425361,1.0
crf_id_dagger,CRF_ID†,8,lineage_20170925,,14,2184,0.9826007326007326,1.0,0.9907661782661781,0.9816849816849816,1.0
ours,Ours,1,func_20150410,42,16,3536,0.8832013574660633,0.9923642533936652,0.9282177075375614,0.879524886877828,1.0
ours,Ours,2,func_20150417,42,18,3954,0.996206373292868,1.0,0.9981031866464339,0.9944360141628731,1.0
ours,Ours,3,func_20161004,42,6,768,0.9895833333333334,1.0,0.9947916666666666,0.9895833333333334,1.0
ours,Ours,4,islet_20170202,42,13,1820,0.9862637362637363,1.0,0.9927655677655679,0.989010989010989,1.0
ours,Ours,5,islet_20170216,42,12,1464,0.9877049180327869,1.0,0.9936247723132969,0.9890710382513661,1.0
ours,Ours,6,lineage_20160328,42,8,938,0.9786780383795309,1.0,0.9891613361762615,0.9744136460554371,1.0
ours,Ours,7,lineage_20170111,42,14,2492,0.9995987158908507,1.0,0.9997993579454254,1.0,1.0
ours,Ours,8,lineage_20170925,42,14,2184,0.9935897435897436,1.0,0.9967948717948718,0.9935897435897436,1.0
