method,display_name,fold,test_fish,seed,pair_index,pair_id,queries,top1,top5,mrr,hungarian,coverage
cpd,CPD,5,islet_20170216,,2,islet_20170216__gap60m__p002,122,0.8688524590163934,1.0,0.9292349726775957,0.8688524590163934,1.0
cpd,CPD,5,islet_20170216,,3,islet_20170216__gap60m__p003,122,0.7786885245901639,1.0,0.8715846994535518,0.8688524590163934,1.0
cpd,CPD,5,islet_20170216,,4,islet_20170216__gap60m__p004,122,0.8770491803278688,1.0,0.9310109289617488,0.8524590163934426,1.0
cpd,CPD,5,islet_20170216,,5,islet_20170216__gap60m__p005,122,0.8852459016393442,1.0,0.9289617486338797,0.8688524590163934,1.0
cpd,CPD,5,islet_20170216,,6,islet_20170216__gap60m__p006,122,0.9180327868852459,1.0,0.9510928961748635,0.9344262295081968,1.0
cpd,CPD,5,islet_20170216,,7,islet_20170216__gap60m__p007,122,0.8934426229508197,1.0,0.9467213114754098,0.9016393442622951,1.0
cpd,CPD,5,islet_20170216,,8,islet_20170216__gap60m__p008,122,0.9508196721311475,1.0,0.9754098360655737,0.9344262295081968,1.0
cpd,CPD,5,islet_20170216,,9,islet_20170216__gap60m__p009,122,0.9344262295081968,1.0,0.9672131147540983,0.9672131147540983,1.0
cpd,CPD,5,islet_20170216,,10,islet_20170216__gap60m__p010,122,0.9508196721311475,1.0,0.9740437158469945,0.9672131147540983,1.0
cpd,CPD,5,islet_20170216,,11,islet_20170216__gap60m__p011,122,0.9754098360655737,1.0,0.9852459016393443,1.0,1.0
cpd,CPD,6,lineage_20160328,,0,lineage_20160328__gap60m__p000,114,0.9298245614035088,1.0,0.9649122807017544,1.0,1.0
cpd,CPD,6,lineage_20160328,,1,lineage_20160328__gap60m__p001,114,0.9298245614035088,1.0,0.9564327485380119,0.8947368421052632,1.0
cpd,CPD,6,lineage_20160328,,2,lineage_20160328__gap60m__p002,114,0.9122807017543859,1.0,0.9502923976608186,0.9824561403508771,1.0
cpd,CPD,6,lineage_20160328,,3,lineage_20160328__gap60m__p003,116,0.9482758620689655,1.0,0.9705459770114944,0.9827586206896551,1.0
cpd,CPD,6,lineage_20160328,,4,lineage_20160328__gap60m__p004,118,0.9830508474576272,1.0,0.9887005649717514,0.9830508474576272,1.0
cpd,CPD,6,lineage_20160328,,5,lineage_20160328__gap60m__p005,120,0.9666666666666667,1.0,0.9791666666666666,1.0,1.0
cpd,CPD,6,lineage_20160328,,6,lineage_20160328__gap60m__p006,120,0.975,1.0,0.9854166666666667,1.0,1.0
cpd,CPD,6,lineage_20160328,,7,lineage_20160328__gap60m__p007,122,0.9918032786885246,1.0,0.9959016393442623,1.0,1.0
cpd,CPD,7,lineage_20170111,,0,lineage_20170111__gap60m__p000,178,0.8314606741573034,0.9887640449438202,0.9015516318887106,0.8876404494382022,1.0
cpd,CPD,7,lineage_20170111,,1,lineage_20170111__gap60m__p001,178,0.8820224719101124,0.9943820224719101,0.9288815117466803,0.9662921348314607,1.0
cpd,CPD,7,lineage_20170111,,2,lineage_20170111__gap60m__p002,178,0.8876404494382022,0.9887640449438202,0.9363830925628678,0.9550561797752809,1.0
cpd,CPD,7,lineage_20170111,,3,lineage_20170111__gap60m__p003,178,0.8764044943820225,1.0,0.9325842696629213,0.9325842696629213,1.0
cpd,CPD,7,lineage_20170111,,4,lineage_20170111__gap60m__p004,178,0.9325842696629213,1.0,0.9634831460674159,0.9550561797752809,1.0
cpd,CPD,7,lineage_20170111,,5,lineage_20170111__gap60m__p005,178,0.9157303370786517,1.0,0.9531835205992509,0.9550561797752809,1.0
cpd,CPD,7,lineage_20170111,,6,lineage_20170111__gap60m__p006,178,0.9382022471910112,1.0,0.9681647940074907,0.9775280898876404,1.0
cpd,CPD,7,lineage_20170111,,7,lineage_20170111__gap60m__p007,178,0.9606741573033708,1.0,0.9784644194756553,1.0,1.0
cpd,CPD,7,lineage_20170111,,8,lineage_20170111__gap60m__p008,178,0.9213483146067416,1.0,0.9564606741573034,1.0,1.0
