,CEPDL,M3L,I2L,I3,IL2DL,OLQDL,RIVL,RMER,AVDL,M3R,NSML,OLQDR,AIBL,AVAL,AWBL,I1L,NSMR,SMDVL,URXL,AIBR,AWCL,CEPVL,FLPL,IL1DR,OLLL
OLQDR,0.17163469414459828,0.06996959640736651,-0.004875328650711567,0.07546162477244661,0.08138145384264346,0.4846878699596181,0.14739737200181413,0.2641642077191111,0.03888196798921554,0.11342264454865006,0.016714377278377362,1.0,-0.033267649336635834,-0.12979967722496755,0.21632890404526608,-0.026673548728596612,0.022244950011003392,0.12434389825204896,0.09146834174020889,-0.048538142414228116,0.08115016000220743,0.31285824606338886,0.20590214304202478,0.4167822654596359,0.6728990151021317
AIBL,-0.1920957757303661,-0.03323757415863218,-0.11369840970138523,0.15673165295502275,-0.10219385807685073,-0.06186922280731331,0.29648639803060756,-0.5351353201371611,-0.07708009508737289,-0.019581107221084335,-0.18053787811190852,-0.033267649336635834,1.0,0.721113446485495,0.10393769469931158,0.0020223265924462293,-0.16406405659636522,-0.014972782209245966,-0.18048173841758067,0.9410997930790371,0.1314121130176061,-0.0693455118880464,-0.08898031045756456,-0.20725817880289166,0.09777041633647358
AVAL,-0.2722649633487205,-0.11813492103226093,-0.1022766040968637,0.3279097928130996,-0.23843579699498008,-0.061524887712025564,0.3327191769822624,-0.564777915396871,-0.23841759602236076,-0.1019814581051642,-0.3519571992939063,-0.12979967722496757,0.721113446485495,1.0,0.10505855002723903,-0.16967022282160069,-0.31553118450723083,0.046581393927198594,-0.19654086187739037,0.773426163664898,0.030032629728999463,-0.13735224951730934,-0.23600347905589303,-0.20782316358262484,-0.030481039529104262
AWBL,0.09665532879418454,0.03152181002005854,-0.06072063974640698,0.0355729639661704,-0.01939646151623618,0.2652922770776802,0.10153698391815918,-0.07965677675729435,0.046822807843500534,0.03077033514651058,-0.013366132376893738,0.21632890404526608,0.10393769469931158,0.10505855002723903,1.0,-0.015025019195127998,-0.023976696758353188,-0.03441243307139602,-0.016533661702003783,0.11146480217754086,0.16406708872785497,0.1817651075831253,0.10056036636357454,0.00558965143345822,0.24984398109635406
I1L,0.07916734586147327,0.333432867349586,0.09115995671113283,-0.37111368756585467,0.3927367580135654,-0.11115499992215783,-0.11510605504257154,0.027665907155949573,0.36279988908009003,0.3089369976782494,0.5867767364633117,-0.026673548728596615,0.0020223265924462336,-0.16967022282160066,-0.015025019195127998,1.0,0.5242919092651276,-0.034811905455937264,-0.013252918652060432,-0.02177661195181234,0.12380993597678364,0.01672328105198031,0.30056742732960773,-0.10665581002460572,-0.038858445467684306
NSMR,0.06926140699394435,0.2619512567230753,-0.026614236008233136,-0.5590862880025108,0.4339604822326986,-0.1517909972548883,-0.17045028916769392,0.11890778969538657,0.4539106375507337,0.2501047137049654,0.8606919010628538,0.022244950011003392,-0.16406405659636522,-0.31553118450723083,-0.023976696758353188,0.5242919092651276,1.0,-0.048739101679897145,0.0679263166594211,-0.1935669364774456,0.1564937228844844,0.0408462100443411,0.37790782351830665,-0.08126378138513352,-0.027851305818351556
SMDVL,0.16208268430257408,-0.003821272656761991,0.04780239301977496,0.10816537649858798,-0.012739308356322362,0.1360608687974432,0.5298437579889318,0.20820820791286196,-0.023796492046383986,-0.0068117021298774935,-0.046838368289915985,0.12434389825204896,-0.014972782209245966,0.04658139392719861,-0.03441243307139602,-0.03481190545593726,-0.048739101679897145,1.0,0.22043707683939723,0.024712632353641843,-0.0019609495794241354,0.044619291422398046,0.004911682187405319,0.1462990753021133,0.08523740753231372
URXL,0.36668687530053257,-0.0218353268939465,0.1402547803865874,0.03182531461248566,0.08866083966318274,0.12707735420379646,0.05169728625825006,0.2816776263472185,0.07210361986455019,-0.00662654545639589,0.05649428127184552,0.09146834174020889,-0.18048173841758067,-0.19654086187739037,-0.016533661702003783,-0.013252918652060432,0.0679263166594211,0.22043707683939723,1.0,-0.18654026952144534,0.08370294266702492,0.06387732279340813,0.1505489161885211,0.17389179881546638,0.1022344945998119
AIBR,-0.19519196935296232,-0.04727010363765052,-0.09948099944003798,0.20390562117251862,-0.14495403529036638,-0.041441560413266444,0.33908767272314605,-0.5426451927504823,-0.0830297767241328,-0.019286691172698,-0.2133652223499458,-0.048538142414228116,0.9410997930790371,0.773426163664898,0.11146480217754083,-0.02177661195181234,-0.1935669364774456,0.024712632353641847,-0.18654026952144534,1.0,0.0761516147948683,-0.08043609628426725,-0.10118129448615845,-0.24266766831119735,0.08875994817150172
AWCL,0.09061495255609034,0.11598602724749782,0.014214321561075936,-0.0775183831727693,0.14107475144636694,0.06131510161226568,-0.0032508984751682913,0.010295260948797055,0.177603753312185,0.09074272974668786,0.13390484943396505,0.08115016000220746,0.1314121130176061,0.030032629728999463,0.16406708872785503,0.12380993597678364,0.1564937228844844,-0.001960949579424136,0.08370294266702492,0.07615161479486829,1.0,0.10497550473260961,0.14675395077530656,0.09063156043742679,0.11060899449434253
