fold,severity,perturbation_seed,mode,recordings,known_queries,synthetic_unknown_queries,known_top1_real,known_top1_with_dustbin,known_false_reject_rate,unknown_recall,forced_match_rate,dustbin_precision,dustbin_f1,unknown_auroc,unknown_auprc,execution_device,checkpoint,corruption_root
0,0.4,1,ordinary,19,270,754,0.43333333333333335,0.43333333333333335,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p1
0,0.4,2,capacity_dustbin,19,270,754,0.5,0.4185185185185185,0.43703703703703706,0.9429708222811671,0.05702917771883287,0.8576598311218335,0.8982943777637399,0.7371254543668336,0.8370521537626975,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p2
0,0.4,2,ordinary,19,270,754,0.4444444444444444,0.4444444444444444,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p2
0,0.5,0,capacity_dustbin,19,270,942,0.45925925925925926,0.37037037037037035,0.4777777777777778,0.945859872611465,0.05414012738853502,0.8735294117647059,0.908256880733945,0.7375049146811354,0.865965448168227,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p0
0,0.5,0,ordinary,19,270,942,0.40370370370370373,0.40370370370370373,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p0
0,0.5,1,capacity_dustbin,19,270,942,0.4925925925925926,0.3925925925925926,0.48518518518518516,0.9479830148619958,0.052016985138004235,0.8720703125,0.9084435401831128,0.7363607769127939,0.8663244551236827,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p1
0,0.5,1,ordinary,19,270,942,0.43333333333333335,0.43333333333333335,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p1
0,0.5,2,capacity_dustbin,19,270,942,0.46296296296296297,0.37037037037037035,0.4888888888888889,0.9416135881104034,0.05838641188959659,0.8704612365063789,0.90464048954615,0.7232169536840449,0.8552964683803513,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p2
0,0.5,2,ordinary,19,270,942,0.4222222222222222,0.4222222222222222,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p2
1,0.0,0,capacity_dustbin,19,298,0,0.697986577181208,0.6375838926174496,0.21476510067114093,,,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.00_p0
1,0.0,0,ordinary,19,298,0,0.6543624161073825,0.6543624161073825,0.0,,,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.00_p0
1,0.1,0,capacity_dustbin,19,298,189,0.6711409395973155,0.5939597315436241,0.22483221476510068,0.9206349206349206,0.07936507936507942,0.7219917012448133,0.8093023255813954,0.894499485103512,0.7916349664799128,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.10_p0
1,0.1,0,ordinary,19,298,189,0.6610738255033557,0.6610738255033557,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.10_p0
1,0.1,1,capacity_dustbin,19,298,189,0.6912751677852349,0.6140939597315436,0.22483221476510068,0.9153439153439153,0.08465608465608465,0.7208333333333333,0.8065268065268065,0.8838819644188771,0.782969327796236,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.10_p1
1,0.1,1,ordinary,19,298,189,0.6577181208053692,0.6577181208053692,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.10_p1
1,0.1,2,capacity_dustbin,19,298,189,0.6610738255033557,0.6040268456375839,0.22483221476510068,0.9047619047619048,0.09523809523809523,0.7184873949579832,0.8009367681498829,0.876087496892866,0.7661780669047578,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.10_p2
1,0.1,2,ordinary,19,298,189,0.6510067114093959,0.6510067114093959,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.10_p2
1,0.2,0,capacity_dustbin,19,298,381,0.6577181208053692,0.5805369127516778,0.2348993288590604,0.9396325459317585,0.06036745406824151,0.8364485981308412,0.8850432632880099,0.885509697193891,0.878066307423383,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.20_p0
1,0.2,0,ordinary,19,298,381,0.62751677852349,0.62751677852349,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.20_p0
1,0.2,1,capacity_dustbin,19,298,381,0.6711409395973155,0.5838926174496645,0.2348993288590604,0.9291338582677166,0.07086614173228345,0.8349056603773585,0.8795031055900622,0.8773186069862072,0.8743169611574193,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.20_p1
1,0.2,1,ordinary,19,298,381,0.6308724832214765,0.6308724832214765,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.20_p1
1,0.2,2,capacity_dustbin,19,298,381,0.6610738255033557,0.587248322147651,0.24161073825503357,0.9212598425196851,0.07874015748031493,0.8297872340425532,0.873134328358209,0.8797935492962708,0.8763285012639941,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.20_p2
1,0.2,2,ordinary,19,298,381,0.62751677852349,0.62751677852349,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.20_p2
1,0.3,0,capacity_dustbin,19,298,566,0.6308724832214765,0.5570469798657718,0.28187919463087246,0.9293286219081273,0.07067137809187274,0.8622950819672132,0.8945578231292517,0.865161144971186,0.8931363255789377,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.30_p0
1,0.3,0,ordinary,19,298,566,0.6308724832214765,0.6308724832214765,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.30_p0
1,0.3,1,capacity_dustbin,19,298,566,0.6375838926174496,0.5503355704697986,0.2953020134228188,0.9452296819787986,0.05477031802120136,0.8587479935794543,0.8999158957106812,0.8630682761401096,0.8979356124840708,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.30_p1
1,0.3,1,ordinary,19,298,566,0.6040268456375839,0.6040268456375839,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.30_p1
1,0.3,2,capacity_dustbin,19,298,566,0.6342281879194631,0.5469798657718121,0.28187919463087246,0.9293286219081273,0.07067137809187274,0.8622950819672132,0.8945578231292517,0.866613702658477,0.9025261301723664,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.30_p2
1,0.3,2,ordinary,19,298,566,0.6208053691275168,0.6208053691275168,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.30_p2
1,0.4,0,capacity_dustbin,19,298,759,0.610738255033557,0.5167785234899329,0.3087248322147651,0.930171277997365,0.06982872200263501,0.8847117794486216,0.9068721901091843,0.8543473839651254,0.9200500128499356,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.40_p0
1,0.4,0,ordinary,19,298,759,0.5906040268456376,0.5906040268456376,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold1/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold1/outlier_l0.40_p0
