mode,severity,fold,perturbation_replicates,known_top1_real,known_top1_with_dustbin,known_false_reject_rate,unknown_recall,forced_match_rate,dustbin_precision,dustbin_f1,unknown_auroc,unknown_auprc
capacity_dustbin,0.4,1,3,0.616331096196868,0.5190156599552572,0.3187919463087248,0.9411506368028107,0.05884936319718925,0.8826325087870567,0.9109294284084988,0.8564872536276096,0.9207406195681568
capacity_dustbin,0.4,2,3,0.5696767001114827,0.45707915273132665,0.4124860646599777,0.9112745098039216,0.08872549019607845,0.8340175518466356,0.8709342719125147,0.7534756377467374,0.8476871539141378
capacity_dustbin,0.4,3,3,0.6137387387387387,0.490990990990991,0.3738738738738739,0.9511737089201877,0.04882629107981221,0.8592050775958823,0.9028468107864813,0.8716501712980586,0.9167368434787991
capacity_dustbin,0.4,4,3,0.6190476190476191,0.518140589569161,0.3673469387755102,0.9250238777459409,0.07497612225405918,0.8566948075457802,0.8895474804348241,0.8235125951048996,0.8961408140154686
capacity_dustbin,0.5,0,3,0.47160493827160493,0.37777777777777777,0.48395061728395067,0.9451521585279546,0.05484784147204528,0.8720203202570284,0.9071136368210692,0.7323608817593247,0.8625287905574203
capacity_dustbin,0.5,1,3,0.5961968680089486,0.4977628635346756,0.32550335570469796,0.9390415785764623,0.06095842142353769,0.9015591658391457,0.919914573722493,0.8475069880954069,0.9299877438388343
capacity_dustbin,0.5,2,3,0.5518394648829431,0.4214046822742475,0.45819397993311045,0.9240654205607477,0.0759345794392523,0.852391325704669,0.88677148080175,0.7363225288865273,0.8607414782469295
capacity_dustbin,0.5,3,3,0.6036036036036035,0.46396396396396394,0.40990990990990994,0.956081081081081,0.043918918918918935,0.874950831087499,0.9137144782792975,0.8606190650109569,0.928269668007129
capacity_dustbin,0.5,4,3,0.6122448979591837,0.5034013605442177,0.38321995464852604,0.9278350515463917,0.07216494845360821,0.8778848054875833,0.9021651161781645,0.8262656723628741,0.9176098824523043
ordinary,0.0,0,1,0.4888888888888889,0.4888888888888889,0.0,,,,,,
ordinary,0.0,1,1,0.6543624161073825,0.6543624161073825,0.0,,,,,,
ordinary,0.0,2,1,0.5785953177257525,0.5785953177257525,0.0,,,,,,
ordinary,0.0,3,1,0.6148648648648649,0.6148648648648649,0.0,,,,,,
ordinary,0.0,4,1,0.6326530612244898,0.6326530612244898,0.0,,,,,,
ordinary,0.1,0,3,0.4654320987654321,0.4654320987654321,0.0,0.0,1.0,,,,
ordinary,0.1,1,3,0.656599552572707,0.656599552572707,0.0,0.0,1.0,,,,
ordinary,0.1,2,3,0.564102564102564,0.564102564102564,0.0,0.0,1.0,,,,
ordinary,0.1,3,3,0.6058558558558559,0.6058558558558559,0.0,0.0,1.0,,,,
ordinary,0.1,4,3,0.6179138321995464,0.6179138321995464,0.0,0.0,1.0,,,,
ordinary,0.2,0,3,0.4493827160493827,0.4493827160493827,0.0,0.0,1.0,,,,
ordinary,0.2,1,3,0.6286353467561522,0.6286353467561522,0.0,0.0,1.0,,,,
ordinary,0.2,2,3,0.5551839464882943,0.5551839464882943,0.0,0.0,1.0,,,,
ordinary,0.2,3,3,0.588963963963964,0.588963963963964,0.0,0.0,1.0,,,,
ordinary,0.2,4,3,0.5975056689342404,0.5975056689342404,0.0,0.0,1.0,,,,
ordinary,0.3,0,3,0.43209876543209874,0.43209876543209874,0.0,0.0,1.0,,,,
ordinary,0.3,1,3,0.6185682326621924,0.6185682326621924,0.0,0.0,1.0,,,,
ordinary,0.3,2,3,0.5228539576365664,0.5228539576365664,0.0,0.0,1.0,,,,
ordinary,0.3,3,3,0.5664414414414415,0.5664414414414415,0.0,0.0,1.0,,,,
ordinary,0.3,4,3,0.582766439909297,0.582766439909297,0.0,0.0,1.0,,,,
ordinary,0.4,0,3,0.43950617283950616,0.43950617283950616,0.0,0.0,1.0,,,,
ordinary,0.4,1,3,0.5939597315436241,0.5939597315436241,0.0,0.0,1.0,,,,
ordinary,0.4,2,3,0.5362318840579711,0.5362318840579711,0.0,0.0,1.0,,,,
ordinary,0.4,3,3,0.561936936936937,0.561936936936937,0.0,0.0,1.0,,,,
ordinary,0.4,4,3,0.564625850340136,0.564625850340136,0.0,0.0,1.0,,,,
ordinary,0.5,0,3,0.4197530864197531,0.4197530864197531,0.0,0.0,1.0,,,,
ordinary,0.5,1,3,0.5727069351230425,0.5727069351230425,0.0,0.0,1.0,,,,
ordinary,0.5,2,3,0.5217391304347826,0.5217391304347826,0.0,0.0,1.0,,,,
ordinary,0.5,3,3,0.543918918918919,0.543918918918919,0.0,0.0,1.0,,,,
ordinary,0.5,4,3,0.5385487528344671,0.5385487528344671,0.0,0.0,1.0,,,,
