method,kind,severity,fold,perturbation_replicates,top1,top5,hungarian,coverage,effective_top1
CPD,missing,0.1,2,3,0.12470196950572017,0.2780349021257839,0.14307467291779366,0.8850574712643677,0.1103448275862069
CPD,missing,0.1,3,3,0.40563495001851163,0.9008276769920606,0.42377802459994235,0.8809523809523809,0.35714285714285715
CPD,missing,0.1,4,3,0.2687949731427992,0.882882335056248,0.34731427992297553,0.9107142857142856,0.24404761904761904
CPD,missing,0.2,0,3,0.28727991053346774,0.7372915915006795,0.3335904528482898,0.8095238095238096,0.23376623376623376
CPD,missing,0.2,1,3,0.1777038667293125,0.4462915337504225,0.2173093012520916,0.7956204379562043,0.14111922141119218
CPD,missing,0.2,2,3,0.11137650394984594,0.27265371275566685,0.14222517615990551,0.7977011494252874,0.0896551724137931
CPD,missing,0.2,3,3,0.41461735705530317,0.8950435774028409,0.4450235236859183,0.7936507936507936,0.32936507936507936
CPD,missing,0.2,4,3,0.2835016835016835,0.8730639730639731,0.32845117845117844,0.7976190476190478,0.22619047619047616
CPD,missing,0.3,0,3,0.2811657681940701,0.7833183587900568,0.31394129979035634,0.70995670995671,0.19913419913419914
CPD,missing,0.3,1,3,0.18959810874704494,0.47242063492063496,0.18989572779466393,0.7177615571776156,0.13625304136253044
CPD,missing,0.3,2,3,0.1190545925748418,0.26641948682447125,0.14406990263688083,0.7333333333333334,0.08735632183908044
CPD,missing,0.3,3,3,0.43923985618900874,0.8841294298921417,0.4331792501284027,0.6865079365079364,0.3015873015873016
CPD,missing,0.3,4,3,0.3663234663234663,0.8914628914628914,0.4287859287859288,0.6785714285714285,0.25
CPD,missing,0.4,0,3,0.21165458937198067,0.6825828157349897,0.23913043478260868,0.5887445887445887,0.12554112554112554
CPD,missing,0.4,1,3,0.20170471841704718,0.434851598173516,0.19161719939117203,0.5547445255474454,0.1119221411192214
CPD,missing,0.4,2,3,0.107002607002607,0.2828597828597829,0.1112018612018612,0.5724137931034483,0.062068965517241385
CPD,missing,0.4,3,3,0.42681623931623935,0.8996153846153846,0.4465811965811966,0.5952380952380952,0.25396825396825395
CPD,missing,0.4,4,3,0.2957393483709273,0.8879699248120301,0.30451127819548873,0.6011904761904762,0.17857142857142858
CPD,missing,0.5,0,3,0.2888742400937523,0.76427425207913,0.27194822316773537,0.4805194805194805,0.13852813852813853
CPD,missing,0.5,1,3,0.1940427635644543,0.449975281176616,0.1940427635644543,0.4671532846715329,0.09002433090024331
CPD,missing,0.5,2,3,0.14894848543314684,0.2887645507749695,0.15808090552447102,0.4942528735632184,0.0735632183908046
CPD,missing,0.5,3,3,0.40226681531029357,0.910442214790041,0.416759568933482,0.5198412698412699,0.21031746031746032
CPD,missing,0.5,4,3,0.2637931034482759,0.8726874657909139,0.287192118226601,0.5178571428571428,0.1369047619047619
CPD,outlier,0.0,0,1,0.3246753246753247,0.7532467532467533,0.36363636363636365,1.0,0.3246753246753247
CPD,outlier,0.0,1,1,0.19708029197080293,0.44525547445255476,0.21897810218978103,1.0,0.19708029197080293
CPD,outlier,0.0,2,1,0.1310344827586207,0.2896551724137931,0.15862068965517243,1.0,0.1310344827586207
CPD,outlier,0.0,3,1,0.40476190476190477,0.8928571428571429,0.44047619047619047,1.0,0.40476190476190477
CPD,outlier,0.0,4,1,0.26785714285714285,0.875,0.3392857142857143,1.0,0.26785714285714285
CPD,outlier,0.1,0,3,0.329004329004329,0.7402597402597403,0.3636363636363636,1.0,0.329004329004329
CPD,outlier,0.1,1,3,0.20194647201946472,0.4428223844282238,0.2165450121654501,1.0,0.20194647201946472
CPD,outlier,0.1,2,3,0.1264367816091954,0.2942528735632184,0.16091954022988506,1.0,0.1264367816091954
CPD,outlier,0.1,3,3,0.41269841269841273,0.9007936507936508,0.4444444444444444,1.0,0.41269841269841273
CPD,outlier,0.1,4,3,0.2738095238095238,0.875,0.33928571428571425,1.0,0.2738095238095238
CPD,outlier,0.2,0,3,0.30735930735930733,0.7402597402597403,0.38095238095238093,1.0,0.30735930735930733
CPD,outlier,0.2,1,3,0.19221411192214113,0.4476885644768857,0.19708029197080293,1.0,0.19221411192214113
CPD,outlier,0.2,2,3,0.12413793103448277,0.2896551724137931,0.1586206896551724,1.0,0.12413793103448277
CPD,outlier,0.2,3,3,0.40079365079365076,0.8888888888888888,0.44047619047619047,1.0,0.40079365079365076
CPD,outlier,0.2,4,3,0.2738095238095238,0.875,0.3452380952380953,1.0,0.2738095238095238
