setting,severity,folds,known_top1_real_mean,known_top1_real_sd,reject_aware_top1_mean,reject_aware_top1_sd,known_false_reject_rate_mean,known_false_reject_rate_sd,unknown_recall_mean,unknown_recall_sd,unknown_precision_mean,unknown_precision_sd
log_margin_val_r95,0.4,5,0.5840057443991886,0.05053044000691629,0.46170807593654184,0.042943658517903084,0.4206665036134793,0.04900528522141423,0.95263186951809,0.008754036713013698,0.8483687319720339,0.01892986232307269
log_margin_val_r95,0.5,5,0.5670979545452568,0.05824386950867401,0.4353891938313965,0.048917570386611216,0.44854718645595015,0.05084182985193332,0.9544286931627287,0.009531433871501398,0.868027848712809,0.015876660680142853
probability_val_r80,0.1,5,0.6274401530769033,0.04856362906739374,0.5655886629871929,0.05585494421625679,0.22765900361409414,0.0835993730949169,0.7614631053465427,0.0578513043169879,0.6804239425781635,0.09549673782824854
probability_val_r80,0.2,5,0.6166691454483082,0.0557889121172634,0.5442818403061292,0.060128542123397334,0.2543683720370257,0.08480681559150052,0.781771987122531,0.04156153596699846,0.7937454935729658,0.06317131611602457
probability_val_r80,0.3,5,0.589628889632155,0.05640606721865897,0.5122063011457457,0.07425475821090118,0.2855447340610679,0.0940574101263032,0.7874755235092599,0.03670767321287364,0.8374560954530125,0.04975350966169536
probability_val_r80,0.4,5,0.5840057443991886,0.05053044000691629,0.49502849585964065,0.058449027505015426,0.31352971535034146,0.0828838153520588,0.807353445967004,0.042318658253396174,0.864565531102626,0.03522855009078629
probability_val_r80,0.5,5,0.5670979545452568,0.05824386950867401,0.4723825279272916,0.06880569410325793,0.33933344263599796,0.08796297151884085,0.8180635538400332,0.032860316352813994,0.8820902807360517,0.029255601610436898
probability_val_r90,0.1,5,0.6274401530769033,0.04856362906739374,0.5338135277718002,0.05856889492698678,0.3114945551451867,0.08774281336717638,0.8680942280371362,0.035634173265699225,0.6380188173564096,0.0740126185797356
probability_val_r90,0.2,5,0.6166691454483082,0.0557889121172634,0.5042421237168829,0.06365244721085342,0.34578983644159345,0.09398682793113282,0.8785015822514751,0.022848036783076033,0.7605038280426308,0.057180332414723
probability_val_r90,0.3,5,0.589628889632155,0.05640606721865897,0.469416310512021,0.07055051097036191,0.3821802277845325,0.08928737234200554,0.8876716333811938,0.021347733792921358,0.8118155928198334,0.04172323216062664
probability_val_r90,0.4,5,0.5840057443991886,0.05053044000691629,0.44418586306263996,0.061228434447556,0.4205013464384427,0.08382130010678192,0.9001086860603367,0.021789080991427758,0.841094721469538,0.03262820414201584
