setting,severity,fold,perturbation_replicates,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision
current_argmax,0.4,4,3,0.6190476190476191,0.518140589569161,0.3673469387755102,0.9250238777459409,0.8566948075457802
current_argmax,0.5,0,3,0.47160493827160493,0.37777777777777777,0.48395061728395067,0.9451521585279546,0.8720203202570284
current_argmax,0.5,1,3,0.5961968680089486,0.4977628635346756,0.32550335570469796,0.9390415785764623,0.9015591658391457
current_argmax,0.5,2,3,0.5518394648829431,0.4214046822742475,0.45819397993311045,0.9240654205607477,0.852391325704669
current_argmax,0.5,3,3,0.6036036036036035,0.46396396396396394,0.40990990990990994,0.956081081081081,0.874950831087499
current_argmax,0.5,4,3,0.6122448979591837,0.5034013605442177,0.38321995464852604,0.9278350515463917,0.8778848054875833
log_margin_val_r80,0.0,0,1,0.5814814814814815,0.5444444444444444,0.22962962962962963,,
log_margin_val_r80,0.0,1,1,0.697986577181208,0.6610738255033557,0.14093959731543623,,
log_margin_val_r80,0.0,2,1,0.6120401337792643,0.5652173913043478,0.19732441471571907,,
log_margin_val_r80,0.0,3,1,0.6351351351351351,0.6317567567567568,0.06418918918918919,,
log_margin_val_r80,0.0,4,1,0.6700680272108843,0.6428571428571429,0.1292517006802721,,
log_margin_val_r80,0.1,0,3,0.5555555555555556,0.5222222222222223,0.22839506172839505,0.7037037037037037,0.683235149729995
log_margin_val_r80,0.1,1,3,0.674496644295302,0.6487695749440716,0.1331096196868009,0.8130511463844797,0.7946381120260991
log_margin_val_r80,0.1,2,3,0.6020066889632107,0.5663322185061316,0.21181716833890749,0.7153996101364523,0.6589072943911654
log_margin_val_r80,0.1,3,3,0.6441441441441441,0.6328828828828829,0.08108108108108109,0.7834274952919021,0.8526543168810642
log_margin_val_r80,0.1,4,3,0.6609977324263038,0.6349206349206349,0.15873015873015872,0.7561904761904762,0.7392485566978482
log_margin_val_r80,0.2,0,3,0.5308641975308642,0.49753086419753084,0.24814814814814815,0.7294429708222813,0.8040091534935194
