baseline,setting,scope,severity,paired_folds,folds,ci_method,confidence,delta_reject_aware_top1_pp,delta_reject_aware_top1_ci_low_pp,delta_reject_aware_top1_ci_high_pp,known_false_reject_reduction_pp,known_false_reject_reduction_ci_low_pp,known_false_reject_reduction_ci_high_pp
current_argmax,binary_0_5,clean,0.0,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.979410364982921,1.3469109641000943,2.6119097658657475,7.854966287456181,5.066640203263245,10.643292371649116
current_argmax,log_margin_val_r80,severity,0.3,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,5.53208246552418,2.9258974816883296,8.138267449360029,14.977755366120865,10.16364239945233,19.7918683327894
current_argmax,log_margin_val_r80,severity,0.4,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,5.8520377493170574,3.165943722686901,8.538131775947214,15.390657253879287,10.349206390931217,20.432108116827354
current_argmax,log_margin_val_r80,severity,0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,6.7357358903414735,3.350936135147068,10.120535645535881,16.765804075126407,11.236749799406711,22.294858350846102
current_argmax,log_margin_val_r90,clean,0.0,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.3221741161005007,0.4395226074481645,2.2048256247528366,4.040130609349836,0.876557769210528,7.203703449489144
current_argmax,log_margin_val_r90,pooled_nonzero,0.1-0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.385607208256477,0.26707309630047277,4.504141320212482,5.702600005638896,1.1103399558673601,10.294860055410432
current_argmax,log_margin_val_r90,severity,0.1,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.9076223998688457,0.7150052058922111,3.1002395938454805,4.937692599572348,0.9920819777733535,8.883303221371344
current_argmax,log_margin_val_r90,severity,0.2,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.1510773124290403,0.23424315102974214,4.067911473828339,5.524559053266653,0.9536495313317239,10.095468575201583
current_argmax,log_margin_val_r90,severity,0.3,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.4566622139190084,-0.22852132867930663,5.141845756517324,5.47151864257621,0.885121924144578,10.05791536100784
current_argmax,log_margin_val_r90,severity,0.4,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.4420504595793235,0.05701904220788666,4.827081876950761,5.821537785326745,1.0047778803267196,10.638297690326771
current_argmax,log_margin_val_r90,severity,0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,2.9706236554861642,0.2532155541054026,5.688031756866926,6.757691947452534,1.4035555380711022,12.111828356833964
current_argmax,log_margin_val_r95,clean,0.0,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.004468410675421,-3.188710816026339,1.1797739946754973,-2.8179567967595807,-7.420427535884953,1.7845139423657925
current_argmax,log_margin_val_r95,pooled_nonzero,0.1-0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.614874893351139,-4.076586800809373,0.8468370141070946,-3.32621616182832,-8.793331655734402,2.1408993320777623
current_argmax,log_margin_val_r95,severity,0.1,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.2293185561141695,-3.293431985392449,0.83479487316411,-2.7701356882300954,-7.444348355910517,1.9040769794503258
current_argmax,log_margin_val_r95,severity,0.2,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.3625953977642968,-3.4584961209320175,0.7333053254034239,-3.1052082853672474,-7.975201355044064,1.7647847843095685
current_argmax,log_margin_val_r95,severity,0.3,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.8804590085177006,-4.7611122961920955,1.000194279156694,-3.462863613529895,-9.059157325155095,2.1334300980953054
current_argmax,log_margin_val_r95,severity,0.4,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.8547079256015275,-4.691806890817409,0.982391039614354,-3.6537109260232334,-9.753690352374461,2.446268500327995
current_argmax,log_margin_val_r95,severity,0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.7472935787579968,-4.2887145161852365,0.794127358669243,-3.6391622959911203,-9.885937946423878,2.6076133544416367
current_argmax,probability_val_r80,clean,0.0,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.2528793688908757,-0.41374989673238044,2.919508634514132,6.00624498719459,1.1678084602217822,10.844681514167398
current_argmax,probability_val_r80,pooled_nonzero,0.1-0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.5213252311727998,-2.0425628422464075,5.085213304592006,6.915554113590712,-0.24119311800057247,14.072301345181998
current_argmax,probability_val_r80,severity,0.1,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.2504258630330312,-1.0516256475636503,3.552477373629712,6.481422410243953,0.5820637239579658,12.380781096529942
current_argmax,probability_val_r80,severity,0.2,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.356458125220198,-1.5953625648931795,4.308278815333575,6.603237579219626,0.004771511390061489,13.20170364704919
current_argmax,probability_val_r80,severity,0.3,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.5703682700709118,-2.680526827379687,5.82126336752151,7.150930592195337,-0.5422775308258978,14.84413871521657
current_argmax,probability_val_r80,severity,0.4,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.4773340667083623,-2.786628542080905,5.74129667549763,7.059967900290551,-1.1302072968272556,15.250143097408358
current_argmax,probability_val_r80,severity,0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,1.9520398308315023,-2.419165641741452,6.323245303404457,7.282212086004105,-0.5494025381904786,15.113826710198685
current_argmax,probability_val_r90,clean,0.0,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.7566632238773618,-4.478650296798132,0.9653238490434084,-1.3718710334242452,-7.481956428896369,4.73821436204788
current_argmax,probability_val_r90,pooled_nonzero,0.1-0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-2.947872274912444,-7.623770643242055,1.7280260934171663,-2.882698016637184,-11.208289303696152,5.4428932704217825
current_argmax,probability_val_r90,severity,0.1,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-1.9270876585062249,-5.315856226479345,1.4616809094668948,-1.9021327428653023,-8.614011450725831,4.809745964995226
current_argmax,probability_val_r90,severity,0.2,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-2.6475135337044287,-6.606480188651226,1.3114531212423688,-2.53890886123715,-10.276808097384922,5.198990374910621
