dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
atanas,2,2023-01-09-08,60s,middle,60,455.9893177826889,60.15938916243613,1615,100,1.666614215518563
atanas,2,2023-01-09-08,60s,end,60,911.9786354887765,59.5768707402749,1615,99,1.666614215518563
atanas,2,2023-01-09-08,120s,start,120,0.0,120.30377766385209,1615,200,1.666614215518563
atanas,2,2023-01-09-08,120s,middle,120,425.9133735647192,120.3287781624822,1615,200,1.666614215518563
atanas,2,2023-01-09-08,120s,end,120,851.8267468640115,119.72875936503988,1615,199,1.666614215518563
atanas,2,2023-01-09-08,240s,start,240,0.0,240.03253691305872,1615,399,1.666614215518563
atanas,2,2023-01-09-08,240s,middle,240,366.3615036653355,239.42115388880484,1615,398,1.666614215518563
atanas,2,2023-01-09-08,240s,end,240,732.1229882033076,239.43251802574378,1615,398,1.666614215518563
atanas,2,2023-01-09-08,480s,start,480,0.0,480.04007315274794,1615,798,1.666614215518563
atanas,2,2023-01-09-08,480s,middle,480,246.05772612430155,480.0375727720093,1615,798,1.666614215518563
atanas,2,2023-01-09-08,480s,end,480,492.09045137465,479.4650548544014,1615,797,1.666614215518563
atanas,2,2023-01-09-08,900s,start,900,0.0,900.5532766656252,1615,1497,1.666614215518563
atanas,2,2023-01-09-08,900s,middle,900,36.12613452854566,899.9282568871276,1615,1496,1.666614215518563
atanas,2,2023-01-09-08,900s,end,900,71.57724776060786,899.9782584684435,1615,1496,1.666614215518563
atanas,2,2023-01-09-08,full,full,,0.0,971.5555062290514,1615,1615,1.666614215518563
atanas,2,2023-01-09-15,15s,start,15,0.0,15.039108459837735,1615,25,1.6666142539978732
atanas,2,2023-01-09-15,15s,middle,15,478.27183551713824,15.03229019488208,1615,25,1.6666142539978732
atanas,2,2023-01-09-15,15s,end,15,957.1186891123652,14.414088795427233,1615,24,1.6666142539978732
atanas,2,2023-01-09-15,30s,start,30,0.0,30.08958113612607,1615,50,1.6666142539978732
atanas,2,2023-01-09-15,30s,middle,30,471.0284261404304,30.100945169571787,1615,50,1.6666142539978732
atanas,2,2023-01-09-15,30s,end,30,942.0613983223448,29.47137958544772,1615,49,1.6666142539978732
atanas,2,2023-01-09-15,60s,start,60,0.0,60.165525533258915,1615,100,1.6666142539978732
atanas,2,2023-01-09-15,60s,middle,60,456.0029543603305,60.15643418964464,1615,100,1.6666142539978732
atanas,2,2023-01-09-15,60s,end,60,911.9945448632352,59.53823304455727,1615,99,1.6666142539978732
atanas,2,2023-01-09-15,120s,start,120,0.0,120.31741394347046,1615,200,1.6666142539978732
atanas,2,2023-01-09-15,120s,middle,120,425.92701028031297,120.30377724848222,1615,200,1.6666142539978732
atanas,2,2023-01-09-15,120s,end,120,851.8631113549927,119.66966655279975,1615,199,1.6666142539978732
atanas,2,2023-01-09-15,240s,start,240,0.0,240.02117277972866,1615,399,1.6666142539978732
