activity_hard_scores,activity_max_absolute_hard_gap,activity_mean_margin,activity_same,activity_strongest_margin,fold,full_prediction,geometry_hard_scores,geometry_max_absolute_hard_gap,geometry_mean_margin,geometry_same,geometry_strongest_margin,hard_candidates,identity,neuron_row,query_record,reference_record,wo_activity_prediction,wo_activity_prediction_is_hard,geometry_ambiguous_bottom_quartile,activity_beats_strongest_hard,strict_case
0.698796784049;0.544806225159;-0.443937898713,1.1232156007198189,0.4127226651749759,0.6792777020066058,-0.019519082042789848,4,URBR,0.944781776211;0.934117776237;0.873330089414,0.06991631757150751,0.02583652636467204,0.9432464069853916,-0.0015353692257562557,OLLR;URYVR;RMER,URBR,40,2022-06-14-13,2023-01-23-15,OLLR,True,False,False,False
0.481660028951;0.173753857592;-0.0718358749596,0.8256066083797721,0.5592447295591674,0.7537707334201346,0.27211070446925706,4,IL1DL,0.941354670412;0.906623403797;0.884683134005,0.04331012715900229,0.017106191758856193,0.9279932611635846,-0.01336140924858753,URYDL;IL2L;M4,IL1DL,48,2022-06-14-13,2023-01-23-15,URYDL,True,False,True,False
-0.127853318182;0.604261593529;0.350523017662,0.5818142039400446,0.1783171214215732,0.45396088575791166,-0.15030070777095533,4,IL1L,0.917749925664;0.916614737983;0.909591373975,0.024826536158866874,0.0197658975930336,0.934417910133451,0.016667984469836084,URYVL;IL2L;URBL,IL1L,55,2022-06-14-13,2023-01-23-15,URYVL,True,False,False,False
0.659098291369;0.641837365159;0.666070305183,0.05125690095974644,0.03742561221555285,0.6930942661190816,0.027023960936423896,4,IL2VL,0.933950349339;0.913571102081;0.936894929746,0.017819517112575456,-0.009063381088625366,0.9190754126333859,-0.017819517112575456,I2L;I1L;MCL,IL2VL,59,2022-06-14-13,2023-01-23-15,IL2VR,False,False,True,False
0.398786911139;-0.115170554868;-0.352030272398,0.8689018126577024,0.5396761789688936,0.5168715402597256,0.11808462912094186,4,IL2L,0.916526584795;0.938079423369;0.937616721885,0.02323966457373483,0.009025339352269457,0.9397662493684191,0.0016868259998557011,M3L;IL1L;IL1DL,IL2L,61,2022-06-14-13,2023-01-23-15,URYVL,False,False,True,False
-0.170454956255;-0.342542279918;-0.686215905389,1.363927310990086,1.0774491194552058,0.6777114056012296,0.8481663618567074,4,I3,0.944304667015;0.923611624779;0.965989079988,0.0407098167391583,0.01968631759099715,0.9643214415184428,-0.0016676384699203517,M4;IL1DR;IL2DL,I3,62,2022-06-14-13,2023-01-23-15,MI,False,False,True,False
0.0694738381577;0.539326493272;-0.307742964334,1.0294551706182271,0.6213597505853767,0.7217122062838303,0.18238571301174689,4,ASGL,0.928306485562;0.927329029466;0.941270459707,0.010539170217113814,0.005566208104510806,0.9378681996830935,-0.003402260024390258,AVJL;AWAL;AWBL,ASGL,63,2022-06-14-13,2023-01-23-15,ASEL,False,True,True,False
0.384157503135;-0.597853191735;-0.484535025391,0.8362831896070357,0.47117356920230047,0.2384299978721896,-0.14572750526304146,4,M4,0.939743947084;0.962947439205;0.931014927168,0.025842533911087817,0.012288689926550633,0.9568574610789867,-0.006089978126249895,IL1DR;I3;IL1DL,M4,64,2022-06-14-13,2023-01-23-15,I3,True,False,False,False
-0.704741604528;0.660400185157;0.649631986391,1.4474806962873141,0.5409755694197922,0.74273909175976,0.08233890660320742,4,IL2DL,0.960981530979;0.9608578735;0.961276604611,0.0077277463733579355,0.007546950176336775,0.9685856198730503,0.007309015261676599,I3;I2L;MCL,IL2DL,65,2022-06-14-13,2023-01-23-15,IL2L,False,True,True,False
0.479786457765;0.589751342317;0.604959559717,0.2327418356574158,0.15436250682317787,0.7125282934228887,0.10756873370620224,4,URYVR,0.932719880336;0.895083551054;0.934582828853,0.03701462954579704,0.01130276051842638,0.9320981805994533,-0.0024846482536682313,URBR;OLQVR;OLLR,URYVR,67,2022-06-14-13,2023-01-23-15,IL1R,False,False,True,False
0.45546403865;0.610912618476;0.696976276657,0.25580101049521525,0.12348073788427238,0.7112650491454391,0.01428877248849092,4,OLLL,0.934378199287;0.902718218993;0.851288405429,0.05650264547143524,0.011662776330586433,0.9077910509001994,-0.026587148386533754,URYDL;URBL;OLQDL,OLLL,68,2022-06-14-13,2023-01-23-15,IL1L,False,False,True,False
-0.199919258654;0.240216599331;0.340299178731,0.4963090777049451,0.16952431258171635,0.2963898190514133,-0.043909359679811966,4,URXL,0.904670600498;0.915011615718;0.879520141337,0.042686687635906106,0.022472709788251777,0.9222068289726204,0.007195213254246213,RIAL;CEPDL;SMDVL,URXL,69,2022-06-14-13,2023-01-23-15,SMDVL,True,False,False,False
0.576873154493;-0.50435657239;0.655163057128,1.252182873906332,0.5052664217725585,0.7478263015162513,0.09266324438789775,4,OLQVR,0.913629896147;0.905458957874;0.839412535203,0.07945505526238983,0.032700460723960934,0.9188675904652744,0.0052376943181762226,URYVR;RMER;CEPVR,OLQVR,73,2022-06-14-13,2023-01-23-15,RMER,True,False,True,False
0.354398478362;-0.344806896129;0.330020640202,0.6276177393344373,-0.3864233351170212,-0.2732192609720148,-0.6276177393344373,4,ADEL,0.973654627646;0.974916162985;0.972313146078,0.006739059539228931,0.005424226714027758,0.9790522056171755,0.004136042632077341,FLPL;ADAL;RIS,ADEL,74,2022-06-14-13,2023-01-23-15,ADAL,True,True,False,False
-0.304501168076;-0.444190301662;-0.124066452958,0.34195777324743926,-0.1751049186399558,-0.46602422620543854,-0.34195777324743926,4,IL2R,0.899905132705;0.885537120889;0.887164411047,0.018053682238342916,0.012721914913584986,0.9035908031268931,0.0036856704221720493,IL1DR;M3R;M4,IL2R,77,2022-06-14-13,2023-01-23-15,URYVR,False,False,False,False
0.365917959936;0.527744474879;-0.4230596097,0.9038440151187184,0.32391679704718324,0.4807844054191836,-0.04696006946019954,4,CEPDL,0.898792821984;0.923351020931;0.916022795488,0.030131973125301026,0.016202582308437963,0.9289247951093492,0.005573774178767921,SMDVL;URXL;RIAL,CEPDL,79,2022-06-14-13,2023-01-23-15,SMDVL,True,False,False,False
-0.446413704322;0.238814788591;-0.551364414831,1.2003269868359894,0.9019503488594132,0.6489625720053546,0.41014778341463504,4,AWCL,0.916820194019;0.915861570784;0.908163027868,0.01837876662003901,0.01292686359738715,0.9265417944876408,0.009721600468628466,ASHL;RIBL;AIBL,AWCL,80,2022-06-14-13,2023-01-23-15,AUAL,False,False,True,False
0.547202331853;-0.491914577004;-0.493815730261,0.778170611985312,0.430530873528042,0.2843548817242425,-0.26284745012915833,4,AVJR,0.949898964239;0.867162869365;0.91104141875,0.07795717950590153,0.03575229808596492,0.9451200488706606,-0.004778915368548131,AVDR;ASGR;RIVR,AVJR,81,2022-06-14-13,2023-01-23-15,RIVR,True,False,False,False
0.177259376039;0.132338696614;0.121105365549,0.5598792087235832,0.5374167615382716,0.6809845742723033,0.5037251982332398,4,RMEL,0.884454939458;0.885232136006;0.897478929928,0.018956971195374872,0.014356575522883053,0.9034119106537728,0.005932980725466441,URBL;OLLL;OLQDL,RMEL,82,2022-06-14-13,2023-01-23-15,RMDVL,False,False,True,False
0.0245540583039;0.503959723309;0.582749073857,0.5081223767298573,0.16225548321043298,0.5326764350337843,-0.050072638823586924,4,URBL,0.92048846359;0.921199115743;0.91826785852,0.006184539130993372,0.004467251700248753,0.9244523976511991,0.003253281908099259,URYVL;OLLL;IL1L,URBL,89,2022-06-14-13,2023-01-23-15,BAGL,False,True,False,False
-0.168647686917;0.231497836085;0.349835146822,0.8676415451842755,0.5614320929374015,0.6989938582672518,0.34915871144542165,4,AVDL,0.935306508484;0.93712247878;0.923857701969,0.03001560973030959,0.02177774862187587,0.9538733116997575,0.01675083291941748,AIZL;ASEL;RIBL,AVDL,90,2022-06-14-13,2023-01-23-15,AIZL,True,False,True,False
0.607328939765;0.47609451352;-0.40555023921,1.0721550072772479,0.44064703004207395,0.6666047680673169,0.059275828301878386,4,OLLR,0.939419914196;0.932452997802;0.885959434708,0.060190884311253856,0.026872870117438996,0.9461503190193784,0.00673040482354581,URBR;URYVR;RMER,OLLR,91,2022-06-14-13,2023-01-23-15,IL1DR,False,False,True,False
0.139628871323;-0.0123949536374;-0.190462315787,0.5417747444641712,0.37238856137744825,0.35131242867700924,0.21168355735380623,4,SMDVL,0.930050402382;0.903326627631;0.926620621978,0.029244856657575258,0.012572266958111089,0.9325714842886489,0.0025210819063576917,CEPDL;AWAL;RIAL,SMDVL,103,2022-06-14-13,2023-01-23-15,ASGL,False,False,True,False
0.135784822319;0.261724321183;0.119431341228,0.3267040817129282,-0.23729325544032326,-0.06497976053023562,-0.3267040817129282,4,RIAL,0.910090557346;0.916136254559;0.914515825465,0.005607485742126439,0.002117163965108748,0.9156980430881716,-0.0004382114704071238,URXL;SAAVL;CEPDL,RIAL,110,2022-06-14-13,2023-01-23-15,AWBL,False,True,False,False
-0.289613193629;-0.497011168669;0.707886548616,1.263135393798518,0.7923701630236829,0.7661242251294693,0.05823767651373224,4,OLQDR,0.910553819619;0.912162663327;0.895709533811,0.0385795344382569,0.028147062663425926,0.9342890682490205,0.02212640492221518,RMED;RMER;OLLR,OLQDR,111,2022-06-14-13,2023-01-23-15,RMED,True,False,True,False
0.565798252503;-0.165963448593;-0.514751072582,1.142583604230401,0.6661379545388457,0.6278325316480575,0.06203427914476556,4,ADAL,0.977899550225;0.973346419222;0.974944931985,0.0027703065841611085,0.0007197586620198981,0.976116725806004,-0.0017828244188039521,ADEL;RIS;FLPL,ADAL,112,2022-06-14-13,2023-01-23-15,RMGL,False,True,True,False
