candidate_identity,mode,query_identity,similarity
IL2L,Activity,ASHL,-0.25449666408103794
OLLL,Activity,ASHL,0.4429784346880804
OLLR,Activity,ASHL,0.41169628996704005
RIBL,Activity,ASHL,-0.6097488966593231
URADL,Activity,ASHL,-0.4850829543047461
URBR,Activity,ASHL,0.20834912489166388
URYDR,Activity,ASHL,0.7282678179096926
AIBL,Activity,URADL,-0.15241936752203164
ASEL,Activity,URADL,0.5159643041990846
ASGL,Activity,URADL,-0.07009217485183479
ASGR,Activity,URADL,-0.08381795964307413
ASHL,Activity,URADL,-0.35749850570628305
AVJR,Activity,URADL,-0.2653975822993684
AWAR,Activity,URADL,-0.1647362395814755
AWBL,Activity,URADL,-0.36029575520251444
AWBR,Activity,URADL,-0.21728615972464152
AWCL,Activity,URADL,0.4377123721042238
IL1DR,Activity,URADL,-0.4294241442825302
IL2DL,Activity,URADL,0.6078021975441827
IL2L,Activity,URADL,0.1202855082081109
OLLL,Activity,URADL,-0.44061246654105346
OLLR,Activity,URADL,-0.4726522720705773
RIBL,Activity,URADL,0.059316348902016064
URADL,Activity,URADL,0.6478425388156288
URBR,Activity,URADL,-0.5253682470743644
URYDR,Activity,URADL,-0.3929692231999761
