setting,severity,fold,perturbation_replicates,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision
neurid_calibrated,0.4,3,3,0.6137387387387387,0.5889639639639639,0.11261261261261261,0.6671361502347418,0.9342569090568548
neurid_calibrated,0.4,4,3,0.6190476190476191,0.5997732426303855,0.08390022675736962,0.386341929321872,0.9166240334060403
neurid_calibrated,0.5,0,3,0.47160493827160493,0.4432098765432099,0.22592592592592595,0.4631988676574664,0.8773565792084757
neurid_calibrated,0.5,1,3,0.5961968680089486,0.5805369127516778,0.07941834451901565,0.5063424947145878,0.9529582748301078
neurid_calibrated,0.5,2,3,0.5518394648829431,0.5261984392419174,0.12597547380156074,0.3652647975077881,0.8924584155099914
neurid_calibrated,0.5,3,3,0.6036036036036035,0.5867117117117117,0.11936936936936937,0.6662912912912914,0.9436554256432111
neurid_calibrated,0.5,4,3,0.6122448979591837,0.5975056689342404,0.07369614512471656,0.4012982054219168,0.9416494472695653
neurid_original,0.0,0,1,0.5814814814814815,0.5074074074074074,0.35555555555555557,,
neurid_original,0.0,1,1,0.697986577181208,0.6375838926174496,0.21476510067114093,,
neurid_original,0.0,2,1,0.6120401337792643,0.5284280936454849,0.30434782608695654,,
neurid_original,0.0,3,1,0.6351351351351351,0.6047297297297297,0.1891891891891892,,
neurid_original,0.0,4,1,0.6700680272108843,0.5952380952380952,0.2619047619047619,,
neurid_original,0.1,0,3,0.5555555555555556,0.48148148148148145,0.36172839506172844,0.8977072310405644,0.6346028154851684
neurid_original,0.1,1,3,0.674496644295302,0.6040268456375839,0.22483221476510065,0.9135802469135802,0.7204374765120433
neurid_original,0.1,2,3,0.6020066889632107,0.5206243032329989,0.34002229654403565,0.8576998050682262,0.5908704403581352
neurid_original,0.1,3,3,0.6441441441441441,0.5844594594594594,0.23986486486486483,0.9340866290018832,0.699531490771316
neurid_original,0.1,4,3,0.6609977324263038,0.5748299319727891,0.29591836734693877,0.9085714285714287,0.6463485390864815
neurid_original,0.2,0,3,0.5308641975308642,0.46049382716049386,0.391358024691358,0.9310344827586207,0.7685889423360143
neurid_original,0.2,1,3,0.6633109619686801,0.5838926174496645,0.2371364653243848,0.9300087489063867,0.8337138308502509
neurid_original,0.2,2,3,0.5897435897435898,0.48940914158305465,0.37792642140468224,0.8973607038123167,0.7303066383668962
neurid_original,0.2,3,3,0.6509009009009009,0.5574324324324325,0.28265765765765766,0.9438202247191012,0.8007341554054909
neurid_original,0.2,4,3,0.6485260770975056,0.5623582766439909,0.3129251700680272,0.9147509578544062,0.7757927450771954
neurid_original,0.3,0,3,0.5012345679012346,0.417283950617284,0.419753086419753,0.9386430678466077,0.8239298580183831
neurid_original,0.3,1,3,0.6342281879194631,0.5514541387024608,0.2863534675615213,0.9346289752650176,0.8611127191712935
neurid_original,0.3,2,3,0.5652173913043478,0.4503901895206243,0.40914158305462656,0.8910761154855642,0.7872713741023746
neurid_original,0.3,3,3,0.6227477477477478,0.5157657657657658,0.34009009009009006,0.9425717852684145,0.8333588331293349
neurid_original,0.3,4,3,0.6247165532879819,0.5476190476190476,0.3299319727891156,0.9189016602809706,0.8317961382960148
neurid_original,0.4,0,3,0.5012345679012346,0.4160493827160494,0.4481481481481482,0.9491600353669319,0.8553962885604417
neurid_original,0.4,1,3,0.616331096196868,0.5190156599552572,0.3187919463087248,0.9411506368028107,0.8826325087870567
neurid_original,0.4,2,3,0.5696767001114827,0.45707915273132665,0.4124860646599777,0.9112745098039216,0.8340175518466356
neurid_original,0.4,3,3,0.6137387387387387,0.490990990990991,0.3738738738738739,0.9511737089201877,0.8592050775958823
neurid_original,0.4,4,3,0.6190476190476191,0.518140589569161,0.3673469387755102,0.9250238777459409,0.8566948075457802
neurid_original,0.5,0,3,0.47160493827160493,0.37777777777777777,0.48395061728395067,0.9451521585279546,0.8720203202570284
