raw_schema_version,fold,severity,perturbation_seed,setting,recordings,false_reject_budget,known_queries,synthetic_unknown_queries,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision,execution_device,checkpoint,corruption_root
2,0,0.2,2,neurid_original,19,0.05,270,377,0.5370370370370371,0.45925925925925926,0.3962962962962963,0.9177718832891246,0.7637969094922737,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p2
2,0,0.2,2,neurid_calibrated,19,0.05,270,377,0.5370370370370371,0.5185185185185185,0.15925925925925927,0.3687002652519894,0.7637362637362637,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p2
2,0,0.2,2,no_dustbin_confidence,19,0.05,270,377,0.44814814814814813,0.44814814814814813,0.08148148148148149,0.5464190981432361,0.9035087719298246,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p2
2,0,0.2,2,no_dustbin_forced,19,0.05,270,377,0.44814814814814813,0.44814814814814813,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p2
2,0,0.3,0,neurid_original,19,0.05,270,565,0.4888888888888889,0.40370370370370373,0.43333333333333335,0.9345132743362832,0.8186046511627907,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p0
2,0,0.3,0,neurid_calibrated,19,0.05,270,565,0.4888888888888889,0.4666666666666667,0.17777777777777778,0.39646017699115044,0.8235294117647058,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p0
2,0,0.3,0,no_dustbin_confidence,19,0.05,270,565,0.4074074074074074,0.4074074074074074,0.07777777777777778,0.6159292035398231,0.943089430894309,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p0
2,0,0.3,0,no_dustbin_forced,19,0.05,270,565,0.4074074074074074,0.4074074074074074,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p0
2,0,0.3,1,neurid_original,19,0.05,270,565,0.5,0.4222222222222222,0.4148148148148148,0.9380530973451328,0.8255451713395638,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p1
2,0,0.3,1,neurid_calibrated,19,0.05,270,565,0.5,0.4740740740740741,0.18888888888888888,0.41415929203539825,0.8210526315789474,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p1
2,0,0.3,1,no_dustbin_confidence,19,0.05,270,565,0.43703703703703706,0.43333333333333335,0.07407407407407407,0.5876106194690266,0.9431818181818182,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p1
