identity,n_animal_pairs,same_similarity,hard_similarity,specificity_margin,median_specificity_margin
RIBL,240,0.7701722771396987,0.37522283894886027,0.3949494381908385,0.3990512433069169
RIBR,20,0.7127424956077746,0.44634405181845754,0.2663984437893171,0.26561458492804857
RICL,1056,0.6253347441312401,0.5047633750996171,0.12057136903162305,0.11259240340094517
RICR,380,0.5936779417466574,0.4551849758153664,0.13849296593129107,0.14966766812154464
RID,992,0.7315267531919875,0.5553128012812639,0.1762139519107236,0.1614238729229958
RIH,506,0.43259838742940454,0.31638933665241137,0.11620905077699313,0.11968212098404876
RIML,132,0.7663783107639579,0.34225866948035705,0.42411964128360086,0.4082727838890902
RIMR,132,0.8122266944870614,0.49138328665750747,0.320843407829554,0.3117436151948828
RIR,20,0.5342273389105433,0.47774567577769667,0.05648166313284675,0.03165747973286567
RIS,56,0.4206691777412538,0.4192744864720129,0.001394691269240895,0.017937738205093118
RIVL,1260,0.6377627516063731,0.4116293551954082,0.22613339641096478,0.22926681293190432
RIVR,702,0.6922472965555247,0.47492027588317065,0.2173270206723541,0.21396035579596137
RMDD?,2,0.6177320300643564,0.4965724732805209,0.12115955678383553,0.12115955678383553
RMDDL,812,0.5735133626211739,0.40431236043030966,0.16920100219086426,0.1699356176151278
RMDDR,870,0.5436227717724933,0.4077012057625099,0.13592156600998342,0.14602121821952743
RMDL,1056,0.6067879871522726,0.5115458880617367,0.09524209909053595,0.09307824057934183
RMDR,420,0.5911018609846624,0.5018601548824035,0.0892417061022588,0.09329283924649748
RMDVL,930,0.5173022265851397,0.37365807698847564,0.14364414959666402,0.15657156229610855
RMDVR,992,0.5646963704714191,0.4163948333422119,0.14830153712920707,0.15195353003743567
RMED,132,0.7608917334080236,0.5113886695555317,0.249503063852492,0.23384912363720947
RMEL,1056,0.6462718449879824,0.4304302551386968,0.2158415898492856,0.22048312121793096
RMER,1260,0.7161047525428321,0.4405588348239498,0.27554591771888237,0.27207991963655404
RMEV,342,0.5832978012700667,0.3077596263823285,0.27553817488773824,0.29449152226283704
RMF?,132,0.47859929149278024,0.4651341912051283,0.013465100287651985,0.033031291911982424
RMFL,12,0.3630295067263479,0.4201206509607272,-0.05709114423437931,-0.10316572391077077
RMGL,342,0.6705906071054539,0.4289587510321401,0.2416318560733138,0.24630234862958583
SAAD?,210,0.4484595382708545,0.41128715395791243,0.03717238431294207,0.02025256234882941
SAADL,56,0.4351965925451718,0.35033138115478213,0.08486521139038965,0.06974329743733748
SAADR,90,0.37159720399530105,0.36480544277203014,0.006791761223270926,-0.0009022105852775353
SAAVL,342,0.5985810922367816,0.4119211790499009,0.1866599131868807,0.19767352451015768
SAAVR,110,0.6414853738946815,0.4716872647554591,0.1697981091392224,0.16935244241934896
SIA??,12,0.6215142395964763,0.47297573325883485,0.14853850633764148,0.1689318238017371
SIA?L,20,0.5611006110939191,0.5354347131483974,0.02566589794552166,0.042170210100277994
SIA?R,12,0.5666146114885033,0.4863542559749611,0.08026035551354217,0.13128130402481464
SIBDL,2,0.6203301489326492,0.27154672140197444,0.3487834275306747,0.3487834275306747
SIBDR,2,0.6948547346247653,0.5721559254865302,0.12269880913823517,0.12269880913823517
SIBV?,30,0.6171977789888349,0.39184182942605084,0.22535594956278393,0.2161467431448072
SMB??,2,0.3076621324635194,0.506626778517904,-0.1989646460543846,-0.1989646460543846
SMB?L,30,0.43648854581023616,0.45499106927619637,-0.018502523465960204,-0.01755681606763293
SMBD?,20,0.4652603433020001,0.42521428043626636,0.040046062865733645,0.019324738848748135
SMBDL,2,0.7538755085945248,0.5925387314933389,0.16133677710118588,0.16133677710118588
SMBDR,20,0.4725006148545786,0.501853702438845,-0.02935308758426643,-0.1483526841017326
SMBV?,56,0.48410714102249414,0.4811841959177143,0.002922945104779827,0.016984098346629978
SMBVL,6,0.468217753867171,0.49306536086078306,-0.024847606993612003,-0.15574804109280577
SMBVR,42,0.4318951994071882,0.43262904352022974,-0.0007338441130414123,0.042401625650080904
SMDD?,72,0.39876273097903503,0.28354141318550447,0.11522131779353056,0.10802271996864632
SMDDL,210,0.38941197439553327,0.3207213958630812,0.068690578532452,0.0792351884927012
SMDDR,156,0.35034045303672456,0.30805735597375944,0.04228309706296515,0.04632522000517973
SMDVL,1122,0.5584226035371328,0.42493954318807203,0.13348306034906077,0.14462483939164067
SMDVR,702,0.5475860113151051,0.4135798926920082,0.13400611862309686,0.15440136484343686
URADL,306,0.6986699481078696,0.4581588910493103,0.24051105705855927,0.2207035728644092
URADR,56,0.6575475629049651,0.413065299613515,0.2444822632914499,0.22908696041899368
URAVL,210,0.5605797779158842,0.4251484801268597,0.1354312977890246,0.13387284727384793
URAVR,12,0.511589099339785,0.36829848622479605,0.14329061311498884,0.12900283157001668
URBL,992,0.6221667739489599,0.4950465338153916,0.12712024013356846,0.1270836146732348
URBR,506,0.5681861645702118,0.510711349898651,0.05747481467156064,0.05682338892548924
URXL,1122,0.5794930029061743,0.5181542468790377,0.061338756027136614,0.07063325198098053
URXR,870,0.549159184258746,0.5147645050009579,0.03439467925778807,0.04456808799313089
URYDL,812,0.5537980495179683,0.44582100289167026,0.10797704662629813,0.13234948622271372
URYDR,420,0.5618451373139101,0.4689805265614804,0.09286461075242974,0.10662380179366798
URYVL,1056,0.6529269882016472,0.3715348950613584,0.2813920931402888,0.28451745846565224
URYVR,870,0.5690491801639399,0.359673422287946,0.20937575787599375,0.22073639327473252
VB02,342,0.6714661548635718,0.5118922333574485,0.1595739215061233,0.1529220603538436
