method,N,M,status,scores_ready_mean_ms,scores_ready_sd_ms,scores_ready_median_ms,scores_ready_p95_ms,assignment_ready_mean_ms,assignment_ready_sd_ms,assignment_ready_median_ms,assignment_ready_p95_ms,hungarian_only_median_ms,hungarian_only_p95_ms,peak_allocated_total_mb,peak_reserved_total_mb,peak_allocated_increment_mb,peak_reserved_increment_mb
MPRT_transport_disabled,32,124,OK,2.4266276508569717,0.027354623101762027,2.4193779099732637,2.4770066840574145,2.4688172340393066,0.026756231420314008,2.4627544917166233,2.5171214481815696,0.014388468116521835,0.0160963274538517,14.68212890625,28.0,4.35888671875,2.0
MPRT_transport_disabled,64,124,OK,2.489865552634001,0.03849107578997968,2.476120600476861,2.582262991927564,2.574093258008361,0.04484363998588503,2.5619808584451675,2.660344634205103,0.03050803206861019,0.032742018811404705,22.54443359375,28.0,12.22119140625,2.0
MPRT_transport_disabled,128,124,OK,2.598915626294911,0.06835697317114495,2.577245933935046,2.7406926499679685,2.7409099182114005,0.04245005593773186,2.7252750005573034,2.842437429353595,0.12885918840765953,0.13300986029207706,58.76416015625,86.0,48.44091796875,60.0
MPRT_transport_disabled,256,124,OK,4.1720136580988765,0.024519681269697644,4.169646883383393,4.21718661673367,4.425831623375416,0.10657297980628552,4.396268166601658,4.568231850862503,0.1711081713438034,0.17389962449669838,203.20458984375,264.0,192.88134765625,238.0
MPRT_transport_disabled,512,124,OK,10.85760765708983,0.046885951289094986,10.8462895732373,10.946537228301167,11.308191670104861,0.19473399958697382,11.227175127714872,11.787309846840799,0.32553565688431263,0.3279150929301977,780.08544921875,1010.0,769.76220703125,984.0
MPRT_transport_disabled,1024,124,OK,37.36539267003536,0.10280203596460454,37.34812536276877,37.59447855409235,38.08612051885575,0.13998786659641277,38.03890594281256,38.41404328122735,0.6156452000141144,0.6219076225534081,3085.84765625,3824.0,3075.5244140625,3798.0
MPRT,32,124,OK,4.872045391239226,0.04171439111678413,4.863919923081994,4.959517531096935,4.923700215294957,0.05402166070967965,4.906742600724101,5.054062348790467,0.01422804780304432,0.014949310570955275,14.68212890625,28.0,4.35888671875,2.0
MPRT,64,124,OK,4.921224415302277,0.03316366127781728,4.9113011918962,4.998688050545752,4.97843305580318,0.04596138723617634,4.966537468135357,5.060394783504307,0.03092200495302677,0.03275931812822819,22.54443359375,28.0,12.22119140625,2.0
MPRT,128,124,OK,4.995137564837933,0.046283116301348445,4.983554594218731,5.089133232831955,5.265746209770441,0.04478335827158137,5.255847470834851,5.366450478322804,0.20965654402971268,0.21573144476860762,58.76416015625,86.0,48.44091796875,60.0
MPRT,256,124,OK,6.5881999861449,0.05189615385743578,6.57863705419004,6.64346762932837,6.800007303245366,0.03816685909787874,6.792780011892319,6.868720450438559,0.16940897330641747,0.173057965002954,203.20458984375,264.0,192.88134765625,238.0
MPRT,512,124,OK,13.277318282052875,0.05023789907331745,13.26793315820396,13.37861642241478,13.692321060225368,0.13205934858114704,13.655036920681596,13.832812826149166,0.32203434966504574,0.3305483376607299,780.08544921875,1010.0,769.76220703125,984.0
MPRT,1024,124,OK,40.11527378577739,0.11271414179302269,40.06781871430576,40.37965873721987,40.878105950541794,0.14065455372678082,40.864086942747235,41.18877542205155,0.6182873621582985,0.6240359740331769,3085.84765625,3826.0,3075.5244140625,3800.0
