dataset,fold,seed,duration_key,duration_seconds,position,recordings,queries,top1_real,top5_real,mrr_real,hungarian_queries,hungarian_accuracy
atanas,2,42,480s,480,start,8,656,0.5838414634146342,0.774390243902439,0.6700139568440171,656,0.5685975609756098
atanas,2,42,480s,480,middle,8,656,0.5609756097560976,0.7820121951219512,0.6578434204043663,656,0.5548780487804879
atanas,2,42,480s,480,end,8,656,0.5365853658536586,0.7713414634146342,0.6392429553597585,656,0.5274390243902439
atanas,2,42,900s,900,start,8,656,0.6554878048780488,0.8033536585365854,0.7254608863016284,656,0.6524390243902439
atanas,2,42,900s,900,middle,8,656,0.635670731707317,0.8003048780487805,0.7124362266876019,656,0.6402439024390244
atanas,2,42,900s,900,end,8,656,0.635670731707317,0.7896341463414634,0.705253333261883,656,0.6402439024390244
atanas,2,42,full,,full,8,656,0.6234756097560976,0.8033536585365854,0.7061475778248014,656,0.6234756097560976
atanas,3,42,15s,15,start,7,610,0.25245901639344265,0.5344262295081967,0.39101783611498725,610,0.2639344262295082
atanas,3,42,15s,15,middle,7,610,0.23278688524590163,0.5081967213114754,0.3658561869113151,610,0.20655737704918034
atanas,3,42,15s,15,end,7,610,0.1885245901639344,0.46885245901639344,0.31952185069591915,610,0.18032786885245902
atanas,3,42,30s,30,start,7,610,0.27049180327868855,0.5901639344262295,0.4228370171465668,610,0.2901639344262295
atanas,3,42,30s,30,middle,7,610,0.3016393442622951,0.5983606557377049,0.44216203272966936,610,0.2836065573770492
atanas,3,42,30s,30,end,7,610,0.25573770491803277,0.559016393442623,0.3954200834060986,610,0.25245901639344265
atanas,3,42,60s,60,start,7,610,0.3262295081967213,0.6950819672131148,0.4841742804106234,610,0.31311475409836065
atanas,3,42,60s,60,middle,7,610,0.32131147540983607,0.6655737704918033,0.47598650255053654,610,0.3163934426229508
atanas,3,42,60s,60,end,7,610,0.3295081967213115,0.6573770491803279,0.47593652458061125,610,0.3262295081967213
atanas,3,42,120s,120,start,7,610,0.40327868852459015,0.740983606557377,0.5572268592425702,610,0.4016393442622951
atanas,3,42,120s,120,middle,7,610,0.3655737704918033,0.7229508196721312,0.5255686438018472,610,0.3557377049180328
atanas,3,42,120s,120,end,7,610,0.3655737704918033,0.7049180327868853,0.5228401874672534,610,0.35081967213114756
atanas,3,42,240s,240,start,7,610,0.5229508196721312,0.8524590163934426,0.6606590484942305,610,0.5245901639344263
atanas,3,42,240s,240,middle,7,610,0.5065573770491804,0.8344262295081967,0.6527599093811524,610,0.5
atanas,3,42,240s,240,end,7,610,0.5032786885245901,0.839344262295082,0.6469622845474938,610,0.49836065573770494
atanas,3,42,480s,480,start,7,610,0.680327868852459,0.9081967213114754,0.7801899837785855,610,0.6754098360655738
atanas,3,42,480s,480,middle,7,610,0.6950819672131148,0.9098360655737705,0.7913628077418626,610,0.6934426229508197
atanas,3,42,480s,480,end,7,610,0.6885245901639344,0.9278688524590164,0.7890747600541854,610,0.6819672131147541
atanas,3,42,900s,900,start,7,610,0.7754098360655738,0.9426229508196722,0.8463909322398381,610,0.7754098360655738
atanas,3,42,900s,900,middle,7,610,0.7754098360655738,0.9360655737704918,0.8463094051954922,610,0.7868852459016393
atanas,3,42,900s,900,end,7,610,0.7655737704918033,0.9327868852459016,0.840928444199277,610,0.7639344262295082
atanas,3,42,full,,full,7,610,0.7901639344262295,0.9377049180327869,0.8558736611404125,610,0.7918032786885246
atanas,4,42,15s,15,start,7,611,0.27495908346972175,0.5662847790507365,0.41354873434721945,611,0.25368248772504093
atanas,4,42,15s,15,middle,7,611,0.2864157119476268,0.602291325695581,0.4334583932653499,611,0.28314238952536824
atanas,4,42,15s,15,end,7,611,0.2618657937806874,0.563011456628478,0.40182223041418885,611,0.2553191489361702
atanas,4,42,30s,30,start,7,611,0.3011456628477905,0.6088379705400983,0.4424263574047242,611,0.3044189852700491
atanas,4,42,30s,30,middle,7,611,0.28805237315875615,0.6219312602291326,0.4410645809573498,611,0.29296235679214405
