dataset,fold,seed,duration_key,duration_seconds,positions,recordings,queries_per_position,prediction_pair_agreement,position_top1_range,top1_real,top5_real,mrr_real,hungarian_accuracy
atanas,4,42,15s,15,3,7,611,0.3944353518821604,0.02454991816693941,0.2744135297326787,0.5771958537915984,0.41627645267558605,0.26404800872885975
atanas,4,42,30s,30,3,7,611,0.41189307146753956,0.018003273322422242,0.29078014184397166,0.6126568466993999,0.4380064803248234,0.2913256955810148
atanas,4,42,60s,60,3,7,611,0.4495362793235133,0.031096563011456635,0.31478450627386795,0.6535733769776323,0.4701434033111775,0.3158756137479542
atanas,4,42,120s,120,3,7,611,0.48336061102018546,0.039279869067103124,0.35733769776322966,0.7195853791598473,0.5170428116392097,0.3442444080741953
atanas,4,42,240s,240,3,7,611,0.5924713584288053,0.027823240589197995,0.5117294053464266,0.8254228041462084,0.6518055427463015,0.5090016366612111
atanas,4,42,480s,480,3,7,611,0.7430441898527005,0.016366612111292977,0.7114020731042007,0.9018003273322422,0.7992246000977654,0.7054009819967266
atanas,4,42,900s,900,3,7,611,0.8636115657392253,0.018003273322422242,0.7959629023458811,0.9236224768139661,0.8525780130890422,0.7937806873977088
atanas,4,42,full,,1,7,611,1.0,0.0,0.8216039279869067,0.9198036006546645,0.8667464541617467,0.8199672667757774
rld,0,42,15s,15,3,19,270,0.2716049382716049,0.022222222222222227,0.16049382716049382,0.30370370370370375,0.24779715143555595,0.12716049382716046
rld,0,42,30s,30,3,19,270,0.24197530864197528,0.0111111111111111,0.17901234567901234,0.3617283950617283,0.2743409939159193,0.13703703703703704
rld,0,42,60s,60,3,19,270,0.2814814814814815,0.05185185185185184,0.20370370370370372,0.38395061728395063,0.2996158272056919,0.16419753086419753
rld,0,42,120s,120,3,19,270,0.3333333333333333,0.029629629629629645,0.20370370370370372,0.3814814814814815,0.29799779844050794,0.17037037037037037
rld,0,42,240s,240,3,19,270,0.37530864197530855,0.07407407407407407,0.26296296296296295,0.45925925925925926,0.36367834551004824,0.23580246913580247
rld,0,42,480s,480,3,19,270,0.5012345679012346,0.059259259259259234,0.4283950617283951,0.628395061728395,0.5262494268191725,0.4074074074074074
rld,0,42,900s,900,3,19,270,0.7135802469135804,0.033333333333333326,0.5308641975308642,0.7160493827160495,0.6189880932176177,0.5086419753086419
rld,0,42,full,,1,19,270,1.0,0.0,0.5814814814814815,0.7148148148148148,0.6530861910638435,0.5444444444444444
rld,1,42,15s,15,3,19,298,0.2841163310961969,0.04697986577181207,0.18120805369127516,0.3366890380313199,0.26870644691526907,0.15771812080536915
rld,1,42,30s,30,3,19,298,0.2639821029082774,0.05033557046979867,0.20022371364653244,0.3691275167785235,0.28971242964903304,0.1912751677852349
rld,1,42,60s,60,3,19,298,0.3064876957494407,0.020134228187919462,0.2181208053691275,0.3903803131991051,0.3034480938288819,0.19463087248322145
rld,1,42,120s,120,3,19,298,0.32438478747203575,0.046979865771812096,0.24161073825503357,0.41051454138702465,0.3309319860037316,0.19463087248322145
rld,1,42,240s,240,3,19,298,0.39932885906040266,0.0671140939597315,0.2941834451901566,0.5033557046979866,0.3977803976669365,0.2751677852348993
rld,1,42,480s,480,3,19,298,0.5626398210290827,0.0671140939597315,0.494407158836689,0.6588366890380314,0.572708960620664,0.44407158836689037
rld,1,42,900s,900,3,19,298,0.7393736017897091,0.02684563758389269,0.6252796420581656,0.7628635346756152,0.6934335457150264,0.5917225950782998
rld,1,42,full,,1,19,298,1.0,0.0,0.697986577181208,0.8288590604026845,0.7608625658862185,0.6812080536912751
rld,2,42,15s,15,3,19,299,0.31995540691192864,0.01672240802675584,0.19955406911928653,0.4180602006688963,0.30700017062973156,0.1794871794871795
rld,2,42,30s,30,3,19,299,0.30323299888517274,0.020066889632107038,0.19286510590858416,0.4303232998885173,0.3106306895422584,0.1806020066889632
rld,2,42,60s,60,3,19,299,0.3010033444816054,0.06688963210702342,0.19955406911928653,0.42251950947603123,0.3073600533249015,0.17614269788182832
rld,2,42,120s,120,3,19,299,0.36231884057971014,0.06020066889632106,0.2474916387959866,0.516164994425864,0.37076588401084454,0.24080267558528426
rld,2,42,240s,240,3,19,299,0.39910813823857305,0.0802675585284281,0.3333333333333333,0.5875139353400223,0.4516916611019062,0.31995540691192864
rld,2,42,480s,480,3,19,299,0.5340022296544036,0.040133779264214076,0.483835005574136,0.7168338907469343,0.5892587993692514,0.4715719063545151
rld,2,42,900s,900,3,19,299,0.6989966555183945,0.04682274247491647,0.5841694537346712,0.7881828316610925,0.6787159094250974,0.5707915273132665
rld,2,42,full,,1,19,299,1.0,0.0,0.6120401337792643,0.7959866220735786,0.69291209261679,0.5953177257525084
rld,3,42,15s,15,3,19,296,0.28490990990990994,0.0641891891891892,0.15765765765765763,0.3513513513513513,0.2570391033714103,0.14527027027027029
rld,3,42,30s,30,3,19,296,0.22747747747747746,0.010135135135135143,0.18581081081081083,0.38063063063063063,0.2827699086675786,0.16103603603603603
rld,3,42,60s,60,3,19,296,0.28153153153153154,0.06418918918918917,0.1768018018018018,0.365990990990991,0.2708529843375385,0.15315315315315314
rld,3,42,120s,120,3,19,296,0.365990990990991,0.030405405405405428,0.21734234234234232,0.4065315315315315,0.31168814791536814,0.19256756756756757
rld,3,42,240s,240,3,19,296,0.42342342342342343,0.057432432432432456,0.2939189189189189,0.49887387387387383,0.3930463156263107,0.259009009009009
rld,3,42,480s,480,3,19,296,0.5923423423423423,0.06756756756756754,0.490990990990991,0.7083333333333334,0.5935752285018447,0.4583333333333333
rld,3,42,900s,900,3,19,296,0.7094594594594594,0.04054054054054057,0.6193693693693694,0.8006756756756758,0.6991760872311038,0.5889639639639639
rld,3,42,full,,1,19,296,1.0,0.0,0.6351351351351351,0.8074324324324325,0.7113373252972762,0.6216216216216216
rld,4,42,15s,15,3,19,294,0.310657596371882,0.0272108843537415,0.1950113378684807,0.3741496598639456,0.2909094374924836,0.1598639455782313
rld,4,42,30s,30,3,19,294,0.31972789115646255,0.020408163265306117,0.2290249433106576,0.42403628117913833,0.3270104608453919,0.20975056689342406
rld,4,42,60s,60,3,19,294,0.3163265306122449,0.020408163265306145,0.22448979591836735,0.4331065759637189,0.3302208072152971,0.2108843537414966
rld,4,42,120s,120,3,19,294,0.3956916099773242,0.037414965986394544,0.29251700680272114,0.5204081632653061,0.3997598289770858,0.2766439909297052
rld,4,42,240s,240,3,19,294,0.45351473922902497,0.09863945578231292,0.35260770975056693,0.5839002267573696,0.46237855775855863,0.3163265306122449
rld,4,42,480s,480,3,19,294,0.5997732426303855,0.06122448979591838,0.48866213151927435,0.7052154195011339,0.5896812461346109,0.4603174603174603
rld,4,42,900s,900,3,19,294,0.7448979591836735,0.05102040816326525,0.6507936507936508,0.8299319727891157,0.7330338628225959,0.6167800453514739
rld,4,42,full,,1,19,294,1.0,0.0,0.6700680272108843,0.8435374149659864,0.7503898015168466,0.6462585034013606
