identity,same_similarity,hard_similarity,stability_margin,median_margin,n_animal_pairs,support_animals,n_test_queries,mprt_top1
ASGR,0.8810544823889342,0.8561298432851492,0.024924639103785118,0.022095014021036363,462,22,66,0.8181818181818182
ASHL,0.8612015940549617,0.8528469703947794,0.008354623660182298,0.0065782499314017695,306,18,54,0.7222222222222222
ASHR,0.8471291886072438,0.8254269813696565,0.02170220723758722,0.008716858524753346,6,3,9,0.0
ASIL,0.9252521426291487,0.9134429703310357,0.011809172298112942,0.009893547850752582,56,8,24,0.7083333333333334
ASIR,0.8668902058309403,0.8440668588754316,0.022823346955508694,0.017116040781568587,56,8,24,0.375
ASJL,0.9298159496898301,0.9120674531829271,0.01774849650690306,0.01912387539162219,6,3,9,0.0
ASKL,0.6268903252406447,0.5996968708398077,0.027193454400836925,0.028731811929476936,12,4,12,0.0
ASKR,0.6856903381957372,0.740497188074678,-0.05480684987894102,0.0203677984059214,12,4,12,0.0
AUAL,0.8854284850985727,0.8686734678715737,0.01675501722699904,0.013032836083809396,992,32,96,0.7083333333333334
AUAR,0.8542069108609879,0.8289795984110464,0.02522731244994161,0.017087116414158554,210,15,45,0.5333333333333333
AVAL,0.8329362101534853,0.8053887502950502,0.027547459858435118,0.024512879306060054,1122,34,102,0.9607843137254902
AVAR,0.8240698866162575,0.7967254556813933,0.02734443093486413,0.026261025556613964,756,28,84,0.9761904761904762
AVBL,0.8762366825252416,0.8639641580985655,0.012272524426676076,0.0091549072469288,42,7,21,0.5714285714285714
AVBR,0.8741408322571993,0.871729053013447,0.0024117792437522434,0.006017049093048565,6,3,9,0.4444444444444444
AVDL,0.8836502052122202,0.868994291448166,0.014655913764054125,0.010293338314279199,1190,35,105,0.7333333333333333
AVDR,0.8483270016531882,0.8356657953480753,0.012661206305112773,0.013347424320612533,552,24,72,0.5416666666666666
AVEL,0.8362559410874031,0.8172095716892714,0.019046369398131698,0.019159442151431394,812,29,87,0.9310344827586208
AVER,0.8224366699530656,0.7895015983297263,0.03293507162333939,0.03313246390259983,870,30,90,0.9222222222222224
AVHL,0.8895691249397399,0.8791563891969951,0.010412735742744816,0.007892693049389499,240,16,48,0.875
AVJL,0.8860009217028554,0.8734329246921783,0.01256799701067713,0.009988562996897689,992,32,96,0.5625
AVJR,0.7745784466178254,0.7575003959982757,0.017078050619549628,0.01740662547502797,930,31,93,0.5591397849462365
AVKL,0.9643928643846417,0.9584634428171118,0.005929421567529773,0.003233104860449809,6,3,9,0.2222222222222222
AVKR,0.9375388928705383,0.9049729397703177,0.03256595310022075,0.015108187502169634,30,6,18,0.2777777777777778
AVL,0.6854390118759427,0.6619796943708249,0.023459317505117667,0.01628325881103304,342,19,57,0.2807017543859649
AWAL,0.9017823266076359,0.8865358558326724,0.015246470774963604,0.012906972042079079,506,23,69,0.8115942028985508
AWAR,0.8342485443796741,0.8050608760697667,0.029187668309907426,0.026925078689338966,506,23,69,0.4782608695652174
AWBL,0.8601099457514809,0.8404292014422111,0.019680744309269846,0.018586850720410608,1122,34,102,0.7156862745098039
AWBR,0.8506730538263044,0.8246375573946002,0.02603549643170422,0.024139985290534238,342,19,57,0.5964912280701754
AWCL,0.8599187620045736,0.8430219705047034,0.016896791499870153,0.014118443428800198,1056,33,99,0.7070707070707071
AWCR,0.9061768704426364,0.8738774956104041,0.032299374832232254,0.02872389023740113,342,19,57,0.6666666666666666
BAGL,0.7670214768290322,0.7479566066626563,0.01906487016637584,0.02119946644733106,272,17,51,0.9411764705882352
BAGR,0.8323383993060723,0.8162672924299975,0.016071106876074732,0.011999464854162922,6,3,9,0.1111111111111111
CEPDL,0.8297872015981965,0.8042124664903413,0.025574735107855233,0.021428213756863324,1406,38,114,0.8421052631578947
CEPDR,0.8283271139130374,0.8013907729143109,0.026936340998726466,0.024914079060535554,992,32,96,0.75
CEPVL,0.7560332052719954,0.6775352400526982,0.07849796521929717,0.07254845235459498,1056,33,99,0.696969696969697
CEPVR,0.7509731443809001,0.67958077047157,0.07139237390933004,0.06609237705300053,756,28,84,0.5833333333333334
