dataset,method,fold,seed,seed_invariant,split_family,top1,top5,mrr,hungarian,queries,template
atanas,fDNC,2,1,False,benchmark_official/protocols,0.4170305676855895,0.8384279475982532,0.5970909875680691,0.34934497816593885,458,2023-01-09-22
atanas,fDNC,2,42,False,benchmark_official/protocols,0.4170305676855895,0.8427947598253275,0.5982939066996631,0.33406113537117904,458,2023-01-09-22
atanas,fDNC,2,123,False,benchmark_official/protocols,0.4432314410480349,0.851528384279476,0.6150927653805458,0.3537117903930131,458,2023-01-09-22
atanas,fDNC,3,1,False,benchmark_official/protocols,0.4288577154308617,0.7695390781563126,0.5766297385858988,0.34468937875751504,499,2023-01-16-15
atanas,fDNC,3,42,False,benchmark_official/protocols,0.4288577154308617,0.7695390781563126,0.5764147549443898,0.33867735470941884,499,2023-01-16-15
atanas,fDNC,3,123,False,benchmark_official/protocols,0.4248496993987976,0.7695390781563126,0.5721841180027357,0.32665330661322645,499,2023-01-16-15
atanas,fDNC,4,1,False,benchmark_official/protocols,0.375,0.841796875,0.5692928285557944,0.384765625,512,2023-01-09-22
atanas,fDNC,4,42,False,benchmark_official/protocols,0.384765625,0.859375,0.5794049962735095,0.384765625,512,2023-01-09-22
atanas,fDNC,4,123,False,benchmark_official/protocols,0.384765625,0.85546875,0.5793040485800333,0.38671875,512,2023-01-09-22
atanas,fDNC,5,1,False,benchmark_official/protocols,0.3515981735159817,0.6963470319634704,0.5088862375383999,0.2465753424657534,438,2023-01-16-15
atanas,fDNC,5,42,False,benchmark_official/protocols,0.3493150684931507,0.6963470319634704,0.508896905294023,0.2420091324200913,438,2023-01-16-15
atanas,fDNC,5,123,False,benchmark_official/protocols,0.3607305936073059,0.6986301369863014,0.5151793225448978,0.2579908675799087,438,2023-01-16-15
rld,fDNC,1,1,False,benchmark_official/protocols,0.21052631578947367,0.7894736842105263,0.4543546365914787,0.0,38,20240714-16-04-26
rld,fDNC,1,42,False,benchmark_official/protocols,0.23684210526315788,0.7894736842105263,0.4651821862348178,0.0,38,20240714-16-04-26
rld,fDNC,1,123,False,benchmark_official/protocols,0.21052631578947367,0.7894736842105263,0.44245966022281813,0.02631578947368421,38,20240714-16-04-26
rld,fDNC,2,1,False,benchmark_official/protocols,0.43795620437956206,0.7956204379562044,0.5978475241219158,0.35766423357664234,137,20240828-17-07-39
rld,fDNC,2,42,False,benchmark_official/protocols,0.40875912408759124,0.7883211678832117,0.5790510988053766,0.36496350364963503,137,20240828-17-07-39
rld,fDNC,2,123,False,benchmark_official/protocols,0.41605839416058393,0.7737226277372263,0.5794502456720235,0.35766423357664234,137,20240828-17-07-39
rld,fDNC,3,1,False,benchmark_official/protocols,0.2932330827067669,0.6842105263157895,0.465329054220819,0.24060150375939848,133,20240828-17-07-39
rld,fDNC,3,42,False,benchmark_official/protocols,0.24060150375939848,0.5864661654135338,0.40880487153855544,0.21052631578947367,133,20240828-17-07-39
rld,fDNC,3,123,False,benchmark_official/protocols,0.2932330827067669,0.6766917293233082,0.4658648596377568,0.2631578947368421,133,20240828-17-07-39
rld,fDNC,4,1,False,benchmark_official/protocols,0.2631578947368421,0.7236842105263158,0.4541715594347174,0.11842105263157894,76,20240714-16-04-26
