dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
rld,1,20240917-21-32-57,15s,middle,15,713.2666260000001,14.399730000000005,1500,15,1.0416861982828882
rld,1,20240917-21-32-57,15s,end,15,1425.5732699999999,14.399730000000005,1500,15,1.0416861982828882
rld,1,20240917-21-32-57,30s,start,30,0.0,30.719423999999997,1500,32,1.0416861982828882
rld,1,20240917-21-32-57,30s,middle,30,705.58677,29.759442000000064,1500,31,1.0416861982828882
rld,1,20240917-21-32-57,30s,end,30,1410.213558,29.75944199999995,1500,31,1.0416861982828882
rld,1,20240917-21-32-57,60s,start,60,0.0,60.478866000000004,1500,63,1.0416861982828882
rld,1,20240917-21-32-57,60s,middle,60,690.227058,60.478865999999954,1500,63,1.0416861982828882
rld,1,20240917-21-32-57,60s,end,60,1380.4541159999999,59.518883999999986,1500,62,1.0416861982828882
rld,1,20240917-21-32-57,120s,start,120,0.0,120.95773200000001,1500,126,1.0416861982828882
rld,1,20240917-21-32-57,120s,middle,120,660.467616,119.99775000000002,1500,125,1.0416861982828882
rld,1,20240917-21-32-57,120s,end,120,1319.97525,119.99774999999991,1500,125,1.0416861982828882
rld,1,20240917-21-32-57,240s,start,240,0.0,240.95548200000002,1500,251,1.0416861982828882
rld,1,20240917-21-32-57,240s,middle,240,599.9887500000001,240.955482,1500,251,1.0416861982828882
rld,1,20240917-21-32-57,240s,end,240,1199.9775,239.9954999999999,1500,250,1.0416861982828882
rld,1,20240917-21-32-57,480s,start,480,0.0,480.95098199999995,1500,501,1.0416861982828882
rld,1,20240917-21-32-57,480s,middle,480,479.991,480.95098200000007,1500,501,1.0416861982828882
rld,1,20240917-21-32-57,480s,end,480,959.9820000000001,479.99099999999976,1500,500,1.0416861982828882
rld,1,20240917-21-32-57,900s,start,900,0.0,900.463116,1500,938,1.0416861982828882
rld,1,20240917-21-32-57,900s,middle,900,270.714924,899.5031339999998,1500,937,1.0416861982828882
rld,1,20240917-21-32-57,900s,end,900,540.469866,899.5031339999998,1500,937,1.0416861982828882
rld,1,20240917-21-32-57,full,full,,0.0,1439.973,1500,1500,1.0416861982828882
rld,1,20221106-21-00-09,15s,start,15,0.0,15.3594147758484,1000,16,1.0417063562316649
rld,1,20221106-21-00-09,15s,middle,15,473.2619677808285,14.399451352357858,1000,15,1.0417063562316649
rld,1,20221106-21-00-09,15s,end,15,945.5639721381665,14.3994513523578,1000,15,1.0417063562316649
