candidate_identity,candidate_similarity,is_spatial_hard,mode,query_identity,same_minus_candidate,same_similarity
IL2DL,0.01962170175583897,False,Geometry,ADEL,-0.01282939119000557,0.006792310565833399
I2R,0.0033948466938517542,False,Geometry,ADEL,0.003397463871981645,0.006792310565833399
I3,0.019651696790920027,False,Geometry,ADEL,-0.012859386225086627,0.006792310565833399
NSMR,0.006466413941130448,False,Geometry,ADEL,0.0003258966247029517,0.006792310565833399
I2L,0.0030083253727059144,False,Geometry,ADEL,0.003783985193127485,0.006792310565833399
MCL,0.005171031505595298,False,Geometry,ADEL,0.0016212790602381016,0.006792310565833399
NSML,0.00633994000251159,False,Geometry,ADEL,0.000452370563321809,0.006792310565833399
M4,0.0279892648733686,False,Geometry,ADEL,-0.0211969543075352,0.006792310565833399
M3R,0.021971784128861346,False,Geometry,ADEL,-0.015179473563027946,0.006792310565833399
M3L,0.021250299738106788,False,Geometry,ADEL,-0.014457989172273387,0.006792310565833399
IL2VL,0.025532957222200666,False,Geometry,ADEL,-0.018740646656367266,0.006792310565833399
IL1R,0.062043568849090076,False,Geometry,ADEL,-0.05525125828325668,0.006792310565833399
OLLL,0.07159743439836491,False,Geometry,ADEL,-0.06480512383253151,0.006792310565833399
IL2L,0.06490098653883014,False,Geometry,ADEL,-0.058108675972996744,0.006792310565833399
URBR,0.07849115653375709,False,Geometry,ADEL,-0.07169884596792368,0.006792310565833399
OLLR,0.08811365021587735,False,Geometry,ADEL,-0.08132133965004394,0.006792310565833399
IL1DL,0.09105658881132607,False,Geometry,ADEL,-0.08426427824549267,0.006792310565833399
IL1DR,0.09959057773662183,False,Geometry,ADEL,-0.09279826717078843,0.006792310565833399
URYVR,0.07557534473781151,False,Geometry,ADEL,-0.0687830341719781,0.006792310565833399
IL2R,0.07142505879332907,False,Geometry,ADEL,-0.06463274822749566,0.006792310565833399
URYDL,0.0955547391661076,False,Geometry,ADEL,-0.0887624286002742,0.006792310565833399
IL1L,0.07446458420985706,False,Geometry,ADEL,-0.06767227364402366,0.006792310565833399
URBL,0.09414869457067675,False,Geometry,ADEL,-0.08735638400484334,0.006792310565833399
OLQDR,0.12920773603009755,False,Geometry,ADEL,-0.12241542546426415,0.006792310565833399
OLQDL,0.12725742434756018,False,Geometry,ADEL,-0.12046511378172678,0.006792310565833399
RMER,0.11728587127756011,False,Geometry,ADEL,-0.11049356071172671,0.006792310565833399
OLQVR,0.10384744726095861,False,Geometry,ADEL,-0.09705513669512521,0.006792310565833399
URYVL,0.0945133935900733,False,Geometry,ADEL,-0.0877210830242399,0.006792310565833399
RMED,0.16003199356196376,False,Geometry,ADEL,-0.15323968299613036,0.006792310565833399
RMEL,0.13291651880234273,False,Geometry,ADEL,-0.12612420823650933,0.006792310565833399
CEPVR,0.12171813561153488,False,Geometry,ADEL,-0.11492582504570148,0.006792310565833399
OLQVL,0.12479634602360286,False,Geometry,ADEL,-0.11800403545776945,0.006792310565833399
CEPVL,0.14062160351549483,False,Geometry,ADEL,-0.13382929294966142,0.006792310565833399
SAAVR,0.1743634329430983,False,Geometry,ADEL,-0.1675711223772649,0.006792310565833399
RID,0.19113101703852403,False,Geometry,ADEL,-0.18433870647269063,0.006792310565833399
SMDVR,0.1851582027545041,False,Geometry,ADEL,-0.1783658921886707,0.006792310565833399
URXR,0.19077798018984857,False,Geometry,ADEL,-0.18398566962401516,0.006792310565833399
RIAR,0.1858010016677151,False,Geometry,ADEL,-0.1790086911018817,0.006792310565833399
AVAR,0.17599605977334995,False,Geometry,ADEL,-0.16920374920751655,0.006792310565833399
SAAVL,0.18351344610451686,False,Geometry,ADEL,-0.17672113553868346,0.006792310565833399
CEPDR,0.19249398983272198,False,Geometry,ADEL,-0.18570167926688858,0.006792310565833399
URXL,0.19480002809480562,False,Geometry,ADEL,-0.18800771752897222,0.006792310565833399
CEPDL,0.19640955259343845,False,Geometry,ADEL,-0.18961724202760505,0.006792310565833399
SMDDR,0.14520130856848357,False,Geometry,ADEL,-0.13840899800265016,0.006792310565833399
RMEV,0.15210512330055703,False,Geometry,ADEL,-0.14531281273472363,0.006792310565833399
RIAL,0.18943226537249036,False,Geometry,ADEL,-0.18263995480665696,0.006792310565833399
AVER,0.17532875643788204,False,Geometry,ADEL,-0.16853644587204863,0.006792310565833399
AWAR,0.18537367567380242,False,Geometry,ADEL,-0.17858136510796901,0.006792310565833399
SMDVL,0.19455339596389076,False,Geometry,ADEL,-0.18776108539805736,0.006792310565833399
AVAL,0.1746423477763513,False,Geometry,ADEL,-0.1678500372105179,0.006792310565833399
RMDL,0.16359602085588054,False,Geometry,ADEL,-0.15680371029004714,0.006792310565833399
AIBR,0.17082713783539072,False,Geometry,ADEL,-0.16403482726955732,0.006792310565833399
ASGR,0.17783916564757754,False,Geometry,ADEL,-0.17104685508174414,0.006792310565833399
AVL,0.12376748490250614,False,Geometry,ADEL,-0.11697517433667273,0.006792310565833399
AVEL,0.16036316513169796,False,Geometry,ADEL,-0.15357085456586456,0.006792310565833399
ASGL,0.16717671045512356,False,Geometry,ADEL,-0.16038439988929015,0.006792310565833399
ASHL,0.14945936664425916,False,Geometry,ADEL,-0.14266705607842575,0.006792310565833399
AIBL,0.16971372004326168,False,Geometry,ADEL,-0.16292140947742828,0.006792310565833399
AVHL,0.1490727063369098,False,Geometry,ADEL,-0.1422803957710764,0.006792310565833399
AWBL,0.13733584265452628,False,Geometry,ADEL,-0.13054353208869288,0.006792310565833399
RIVL,0.15890452996512602,False,Geometry,ADEL,-0.15211221939929262,0.006792310565833399
AWCL,0.12443262860299094,False,Geometry,ADEL,-0.11764031803715753,0.006792310565833399
SMDDL,0.09949612865102844,False,Geometry,ADEL,-0.09270381808519504,0.006792310565833399
AVJR,0.14021003908140833,False,Geometry,ADEL,-0.13341772851557493,0.006792310565833399
AIZL,0.13657863096727532,False,Geometry,ADEL,-0.12978632040144192,0.006792310565833399
RIBL,0.11649163587828013,False,Geometry,ADEL,-0.10969932531244672,0.006792310565833399
ASEL,0.11820949851195216,False,Geometry,ADEL,-0.11141718794611875,0.006792310565833399
AVDR,0.12866715357491484,False,Geometry,ADEL,-0.12187484300908144,0.006792310565833399
AVDL,0.11930662963125485,False,Geometry,ADEL,-0.11251431906542145,0.006792310565833399
AVJL,0.1388071874456295,False,Geometry,ADEL,-0.1320148768797961,0.006792310565833399
RIVR,0.12499276265943746,False,Geometry,ADEL,-0.11820045209360405,0.006792310565833399
AIZR,0.10366346060677883,False,Geometry,ADEL,-0.09687115004094543,0.006792310565833399
AUAR,0.050856232812121774,False,Geometry,ADEL,-0.04406392224628838,0.006792310565833399
AUAL,0.06598475159389545,False,Geometry,ADEL,-0.05919244102806206,0.006792310565833399
RICR,0.07801438833812958,False,Geometry,ADEL,-0.07122207777229618,0.006792310565833399
RICL,0.03841404835489899,False,Geometry,ADEL,-0.031621737789065595,0.006792310565833399
M5,0.03644382902606089,True,Geometry,ADEL,-0.029651518460227486,0.006792310565833399
AIML,0.9603207944419501,False,Geometry,ADEL,-0.9535284838761167,0.006792310565833399
AIMR,-0.02440979626937316,False,Geometry,ADEL,0.03120210683520656,0.006792310565833399
FLPL,-0.012012113057725529,True,Geometry,ADEL,0.018804423623558927,0.006792310565833399
VB02,-0.039707148949425744,False,Geometry,ADEL,0.04649945951525914,0.006792310565833399
ADAL,-0.014322101416555714,True,Geometry,ADEL,0.021114411982389114,0.006792310565833399
I1R,0.028331772758277723,False,Geometry,VB02,-0.08158687490452304,-0.05325510214624533
IL2DL,0.047707045465369,False,Geometry,VB02,-0.10096214761161432,-0.05325510214624533
I2R,0.032676995983541,False,Geometry,VB02,-0.08593209812978633,-0.05325510214624533
I3,0.04817292546163049,False,Geometry,VB02,-0.10142802760787581,-0.05325510214624533
NSMR,0.035928356780427974,False,Geometry,VB02,-0.0891834589266733,-0.05325510214624533
I2L,0.030308746438760456,False,Geometry,VB02,-0.08356384858500579,-0.05325510214624533
MCL,0.03297532451541564,False,Geometry,VB02,-0.08623042666166097,-0.05325510214624533
NSML,0.03395300790305174,False,Geometry,VB02,-0.08720811004929707,-0.05325510214624533
M4,0.05714430590731888,False,Geometry,VB02,-0.11039940805356421,-0.05325510214624533
M3R,0.0522706917804324,False,Geometry,VB02,-0.10552579392667773,-0.05325510214624533
M3L,0.049484596277792184,False,Geometry,VB02,-0.10273969842403752,-0.05325510214624533
