candidate_identity,mode,n_common_anchors,query_identity,query_record,reference_record,similarity
OLQDL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.3287763605055142
RMER,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.3184050816947191
OLQVR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.3129425023055544
URYVL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.31626600919245756
RMED,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.3006097383461993
RMEL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.2984007522405269
CEPVR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.2839934928114014
OLQVL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.2876451058082154
CEPVL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.24310167300903981
SAAVR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.23322535607277897
RID,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.23267871694348002
SMDVR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.2001090822030736
URXR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.19780601196841402
RIAR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.1985928075648708
AVAR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.19215932377061484
SAAVL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.21218044841737865
CEPDR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.18530415752079962
URXL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.19221401593697485
CEPDL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.17794052931866924
SMDDR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.1504355814648686
RMEV,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.15211284611884504
RIAL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.1685154005641773
AVER,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.13957927011776244
AWAR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.10975218922935422
SMDVL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.12739359975619344
AVAL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.11357298583688655
RMDL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.07752895299901773
AIBR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.06437285683605308
ASGR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.048083613372282015
AVL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.0004884841597479509
AVEL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.030104833712322254
ASGL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,0.01052316080912668
ASHL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.015267173639832321
AIBL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.020200652441419786
AVHL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.04339565408250445
AWBL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.05540154190934238
RIVL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.03536661414383563
AWCL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.06958197610707377
SMDDL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.10743237854080574
AVJR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.07428812428282333
AIZL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.07335253353395647
RIBL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.10475189274733514
ASEL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.10134730020225935
AVDR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.09429810258957999
AVDL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.10881347737554367
AVJL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.08909799217068791
RIVR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.11807628405588966
AIZR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.14295918499705296
AUAR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.20989941196704093
AUAL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.1899800688921126
RICR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.18534670966401642
RICL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.24034908645568467
M5,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.2624076258239495
AIML,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.8366513024522046
AIMR,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.32292164651211336
FLPL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.31289505746077223
ADEL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.3089553020377427
VB02,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.34630564308889034
ADAL,Geometry,82,IL2DL,2022-08-02-01,2022-06-14-13,-0.3126361395386483
I1R,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3341312827677716
IL2DL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3496149912922462
I2R,Geometry,83,I2R,2022-08-02-01,2022-06-14-13,0.3391600741764166
I3,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3473917912324429
NSMR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3385167829357305
I2L,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.33323011553606136
MCL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3360506608216971
NSML,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.33511403332736267
M4,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.35149723771874675
M3R,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3448210040755253
M3L,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.34065971818624685
IL2VL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.33619454648581903
IL1R,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3447435062875403
OLLL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.34218643527329085
IL2L,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3396602640844309
URBR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.34010705367501354
OLLR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.34032459113553964
IL1DL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.34087734359026095
IL1DR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.33818929056450486
URYVR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3325096683260181
IL2R,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.32771061200651247
URYDL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.33550286792989514
IL1L,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3312601881563702
URBL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.324459593818078
OLQDR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.31799983244372887
OLQDL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.31934801945977453
