candidate_identity,mode,n_common_anchors,query_identity,query_record,reference_record,similarity
I1R,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.11121499812772653
IL2DL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.1341830981398886
I2R,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.11687360538416677
I3,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.13468723398798485
NSMR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.12075624412668982
I2L,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.11334803765181417
MCL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.11679579288143906
NSML,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.11760351185169379
M4,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.14427986523505157
M3R,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.13919741937239083
M3L,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.13477912429707078
IL2VL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.13895818404389057
IL1R,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.18076211526677566
OLLL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.18433699542089374
IL2L,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.1764781711402457
URBR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.19574294322007074
OLLR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.20467035734737604
IL1DL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.2033432216958467
IL1DR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.2137984121732208
URYVR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.1907405933382977
IL2R,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.18533502997789814
URYDL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.20501210151768304
IL1L,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.18328660407377184
URBL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.19928947691013763
OLQDR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.23600248677928984
OLQDL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.23075097290979912
RMER,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.22561937272424262
OLQVR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.2113823886233478
URYVL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.19774155776201222
RMED,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.2532668436622559
RMEL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.22146447263842398
CEPVR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.21612946688490334
OLQVL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.21437833191310326
CEPVL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.21490540556068735
SAAVR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.24775566215798006
RID,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.2555984022545353
SMDVR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.24655764051300755
URXR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.2479914796804653
RIAR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.24446781278751886
AVAR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.23606908182919734
SAAVL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.23523853488612675
CEPDR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.24656388960281736
URXL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.24262009130038106
CEPDL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.2358473476978346
SMDDR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.19485982800978746
RMEV,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.19602391131257352
RIAL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.2252715700119056
AVER,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.21621299158664292
AWAR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.21534617106979967
SMDVL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.21405213324077887
AVAL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.1920206358916986
RMDL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.17144399173624
AIBR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.18694620354676544
ASGR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.18590929989975793
AVL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.1252029812538921
AVEL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.15216746912520795
ASGL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.14754943432637865
ASHL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.12297977211066913
AIBL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.1482072931094153
AVHL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.11346268807857866
AWBL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.09989605405562679
RIVL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.12546073261333487
AWCL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.0843230596817426
SMDDL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.060600121133611844
AVJR,Geometry,83,AVJR,2022-08-02-01,2022-06-14-13,0.11473203654418292
AIZL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.09383207085349894
RIBL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.06798413430788311
ASEL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.0676476511114322
AVDR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.0932970669289544
AVDL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.06549965212352937
AVJL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.08877427339989084
RIVR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.07759012625814284
AIZR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.055771197861062195
AUAR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.018024285704321377
AUAL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.003329467301199843
RICR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.01966885618734952
RICL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.04197981763334663
M5,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.055492687177950174
AIML,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,0.6792975187250144
AIMR,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.11155757044010461
FLPL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.10843909684559526
ADEL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.10574132712952981
VB02,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.14130347485094172
ADAL,Geometry,82,AVJR,2022-08-02-01,2022-06-14-13,-0.11126222305798009
I1R,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.037972373838133046
IL2DL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.0591962131494823
I2R,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.0410756671291495
I3,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.0588076812633629
NSMR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.04437380529853419
I2L,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.04169619005352544
MCL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.043832091298875664
NSML,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.04518603694503229
M4,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.06730040296765714
M3R,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.06032280359461221
M3L,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.0605447631389544
IL2VL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.06436604685674333
IL1R,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.0982777496293911
OLLL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.10984695333205118
IL2L,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.10350587519911714
URBR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.11334441543704649
OLLR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.12272396991983722
IL1DL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.12788243617990913
IL1DR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.13423009143025585
URYVR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1099379002777066
IL2R,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.10525326538862635
URYDL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.13207960554664996
IL1L,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1117147315951218
URBL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.13023286999786515
OLQDR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.15989509758573317
OLQDL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.16000229060121834
RMER,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.14668946922103557
OLQVR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.13385956506306895
URYVL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.12834810306437602
RMED,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.18622233304516053
RMEL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1629888660291976
CEPVR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.14706151857696562
OLQVL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1529419680752046
CEPVL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.16172401367496736
SAAVR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1902896316869703
RID,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.20924633566669165
SMDVR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.19744500303332913
URXR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.20386018191376726
RIAR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.19871331609676127
AVAR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.18722636558081795
SAAVL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.202162852580956
CEPDR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.20356063235172903
URXL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.2097912318458524
CEPDL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.21130024364927272
SMDDR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.15596713632631698
RMEV,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.16237581267410447
RIAL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.20388216965902908
AVER,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.18180557723517438
AWAR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1891124818060873
SMDVL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.2058704255141776
AVAL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1852191850048615
RMDL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1708821365858912
AIBR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1706300882150871
ASGR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.17621099451271227
AVL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.12009285994013841
AVEL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.16310045777990415
ASGL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1686260675218451
ASHL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1497085694202983
AIBL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.16393971133889157
AVHL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.14503483746560888
AWBL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.13282492856803285
RIVL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.15492936025307918
AWCL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.1197162708966145
SMDDL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.0908640899138753
AVJR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.12566161421414768
AIZL,Geometry,83,AIZL,2022-08-02-01,2022-06-14-13,0.13578581724175406
RIBL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.10641864746253261
ASEL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.10922365089312366
AVDR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.11231112636375638
AVDL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.10889760661309046
AVJL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.12909368356411696
RIVR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.10590655790504708
AIZR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.08288822846932971
AUAR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.03189267345225872
AUAL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.049013853457131586
RICR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.05466160364452276
RICL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.015273078441609094
M5,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.009027607252250753
AIML,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,0.9470211722912815
AIMR,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,-0.053484304186944276
FLPL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,-0.039479394178846404
ADEL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,-0.035388801104140034
VB02,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,-0.0718480666623638
ADAL,Geometry,82,AIZL,2022-08-02-01,2022-06-14-13,-0.04038866815721414
I1R,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.10947158816954815
IL2DL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.13337606597017976
I2R,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.11382521690142153
I3,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.13309040812658532
NSMR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.11768117992877773
I2L,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1138190574591244
MCL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1164498920064795
NSML,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.11794483235379831
M4,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.14289880905717203
M3R,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1356855184740122
M3L,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1351798882340623
IL2VL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.13934156131609793
IL1R,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.17465085357445845
OLLL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.185243433398041
IL2L,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.17867266228458514
URBR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.18884117480201473
OLLR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.19786432086378292
IL1DL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.20265394758384758
IL1DR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2086557199789418
URYVR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1849273876660211
IL2R,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.17993568255689252
URYDL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.20591051972471103
IL1L,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1858419117816217
URBL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.20278136123155827
OLQDR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.22992095285477276
OLQDL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2301634471245575
RMER,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2171841178523305
OLQVR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.20475029727330551
URYVL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.19979432442210127
RMED,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2483266579035153
RMEL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.22753555446579055
CEPVR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.211590206027596
OLQVL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.21719882332621784
CEPVL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2162228402530563
SAAVR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2383318891742044
RID,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2526866288834191
SMDVR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.23598942270138382
URXR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2405465702235461
RIAR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.23724799245410036
AVAR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.22650869631204368
SAAVL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.24282844456801955
CEPDR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2368172336311251
URXL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.24395394501819898
CEPDL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.24126500895211417
SMDDR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.19262535087623983
RMEV,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.19660314455486416
RIAL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.23370911731232513
AVER,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.20968760880998544
AWAR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.2068669513034801
SMDVL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.22348210431112076
AVAL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.20499565308474915
RMDL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1842076982756787
AIBR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.18097570967864662
ASGR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.17999268122835696
AVL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.12389690677414457
AVEL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.16473014914677517
ASGL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.16204372200679557
ASHL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1399197119695742
AIBL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.14712687796406754
AVHL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.12808376494976434
AWBL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.11470458927007694
RIVL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1376124185042504
AWCL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.10021037111848238
SMDDL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.07028752960880578
AVJR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.10232434798209522
AIZL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.10867540299324989
RIBL,Geometry,83,RIBL,2022-08-02-01,2022-06-14-13,0.08364147484100719
ASEL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.08201408559104872
AVDR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.08630429494385555
AVDL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.07955680984775684
AVJL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.1001928409274052
RIVR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.07234352353536098
AIZR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.04846324051607561
AUAR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,-0.009166967867046445
AUAL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.008058734808290757
RICR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.014370411254854939
RICL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,-0.03230888166920247
M5,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,-0.048503152358565824
AIML,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,0.7258364099404634
AIMR,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,-0.11173764268943817
FLPL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,-0.10239470326090915
ADEL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,-0.10067950539959224
VB02,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,-0.13853314342652367
ADAL,Geometry,82,RIBL,2022-08-02-01,2022-06-14-13,-0.10653635822747842
I1R,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.08946430889779992
IL2DL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.11321030674826864
I2R,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.09338646236100019
I3,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.11272871434794655
NSMR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.09713289123314726
I2L,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.09393751463336104
MCL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.0963787563060541
NSML,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.09791133817863679
M4,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.12222362721067413
M3R,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.11474066278982442
M3L,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.11481647818932034
IL2VL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.11890320811301672
IL1R,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1537460186710526
OLLL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1655980611095648
IL2L,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1590679941425306
URBR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1684076631824151
OLLR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1777948889350839
IL1DL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1834497604814043
IL1DR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.18922674197662528
URYVR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1645125203532082
IL2R,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.15944483881098503
URYDL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.18720343752691068
IL1L,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.16665048507362
URBL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1845411461898392
OLQDR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2122296427404642
OLQDL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.21299150384168655
RMER,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.19864284457739345
OLQVR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.1858855493284802
URYVL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.18150628013253556
RMED,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2337192731276823
RMEL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2124294311084043
CEPVR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.19483911115890423
OLQVL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.20146621997043865
CEPVL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.20327187567213642
SAAVR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.22718886356828744
RID,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2444101535444032
SMDVR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2278840959448274
URXR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2335631406289126
RIAR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.22945836970879632
AVAR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2177630937550496
SAAVL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.23604054480713108
CEPDR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.23060576676747008
URXL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.23882599448659636
CEPDL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2378505502211505
SMDDR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.18436784183624258
RMEV,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.18950136344204369
RIAL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.23033123826210491
AVER,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2044038915622568
AWAR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.20495384817071483
SMDVL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.2240859142815117
AVAL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.20455382121218973
RMDL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.18537696722700822
AIBR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.18094058262254248
ASGR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.18215901018503283
AVL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.12514449146161397
AVEL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.16945362643814857
ASGL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.16952570715415932
ASHL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.14818877949288786
AIBL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.15635519404733458
AVHL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.13810895469418658
AWBL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.12489394110153455
RIVL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.14788303493120325
AWCL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.11086136566712068
SMDDL,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.08026964421360422
AVJR,Geometry,82,ASEL,2022-08-02-01,2022-06-14-13,0.11126203735413771
