method,display_name,fold,test_fish,seed,queries,top1,top5,mrr,hungarian,source_record
ours,Ours,3,func_20161004,42,768,0.9895833333333334,1.0,0.9947916666666666,0.9895833333333334,../runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_3/seed42/full/test_metrics.json
cpd,CPD,4,islet_20170202,,1820,0.8472527472527472,0.9923076923076923,0.9142015729631696,0.9,../runs/mprt_v1_1/zebrafish_lofo8_seed42/baselines/fold_4/cpd.json
fdnc,fDNC,4,islet_20170202,42,1820,0.8406593406593407,1.0,0.9153388278388278,0.9846153846153847,../runs/zebrafish_spatial_baselines_lofo8_seed42/fold_4/fdnc/summary.json
nuclr,NuCLR,4,islet_20170202,42,1820,0.02032967032967033,0.08021978021978023,0.07770962876697264,0.01868131868131868,../runs/zebrafish_nuclr_lofo8_seed42/fold_4/summary.json
geotransformer,GeoTransformer,4,islet_20170202,42,1820,0.6824175824175824,0.7758241758241758,0.7269741037389734,0.6780219780219781,../runs/zebrafish_geotransformer_lofo8_seed42/fold_4/summary.json
ngm_v2,NGM-v2,4,islet_20170202,42,1820,0.8456043956043956,0.9945054945054945,0.9091784406070121,0.8538461538461538,../runs/zebrafish_ngmv2_lofo8_seed42/fold_4/summary.json
vanilla_fgw,Vanilla FGW,4,islet_20170202,,1820,0.9,1.0,0.95,0.9,../runs/zebrafish_vanilla_fgw_lofo8/fold_4/summary.json
fugw_ga_official,FUGW (G+A; official),4,islet_20170202,,1820,0.6489010989010989,0.9631868131868132,0.7855898380101073,0.7615384615384615,../runs/zebrafish_fugw_official_ga_lofo8/fold_4/test_metrics.json
statatlas,StatAtlas,4,islet_20170202,,1820,0.9439560439560439,1.0,0.9706959706959702,0.9637362637362638,../runs/zebrafish_statatlas_table1_core_lofo8_v1/test/fold_4/metrics.json
crf_id_dagger,CRF_ID†,4,islet_20170202,,1820,0.9626373626373627,0.9994505494505495,0.9808791208791208,0.9659340659340659,../runs/zebrafish_crfid_table1_core_lofo8_v1/test/fold_4/metrics.json
