identity,same_similarity,hard_similarity,activity_relation_margin,median_margin,n_animal_pairs,support_animals,n_paired_queries,accuracy_full,accuracy_wo_activity,accuracy_gain_pp
AVJR,0.14300843514228512,0.0391854532204288,0.10382298192185632,0.11893242232087245,930,31,31,0.5806451612903226,0.2903225806451613,29.03225806451613
AVKL,0.2103958592382484,-0.1099737132838552,0.32036957252210363,0.2557817890181808,6,3,3,0.0,0.3333333333333333,-33.33333333333333
AVKR,0.08747478647048486,-0.026377934641017592,0.11385272111150245,0.12166526478600807,30,6,6,0.3333333333333333,0.0,33.33333333333333
AVL,0.1322543471104396,-0.030559849615611607,0.1628141967260512,0.09672024536795344,342,19,19,0.3157894736842105,0.05263157894736842,26.31578947368421
AWAL,0.18971745785831629,0.07541853405152217,0.11429892380679413,0.12196882779951088,506,23,23,0.8695652173913043,0.2608695652173913,60.86956521739131
AWAR,0.22402103361765496,0.1443881658260832,0.07963286779157176,0.06562467533425538,506,23,23,0.391304347826087,0.13043478260869565,26.086956521739136
AWBL,0.24113752753904405,0.046467094593149454,0.1946704329458946,0.20809329545207045,1122,34,34,0.6764705882352942,0.35294117647058826,32.35294117647059
AWBR,0.17641345066645378,0.09789328473591154,0.07852016593054227,0.08595317146861847,342,19,19,0.5789473684210527,0.10526315789473684,47.36842105263158
AWCL,0.029988272766177618,-0.029306167545868293,0.05929444031204593,0.05007662878129475,1056,33,33,0.7272727272727273,0.45454545454545453,27.272727272727277
AWCR,0.0704012166821138,0.030278735492622208,0.04012248118949159,0.07514214826509077,342,19,19,0.6842105263157895,0.5789473684210527,10.526315789473683
BAGL,0.4432299899502278,-0.001858532280783936,0.4450885222310118,0.4493068163396725,272,17,17,0.9411764705882353,0.47058823529411764,47.05882352941176
BAGR,0.6737606612452217,0.05916401419727549,0.6145966470479463,0.5472072686736109,6,3,3,0.0,0.0,0.0
CEPDL,0.35306294804574795,0.12793148333394372,0.22513146471180426,0.21382391761549835,1406,38,38,0.868421052631579,0.5526315789473685,31.57894736842105
